DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2018-12-31,2018-12-31,"שבט זבולון 2, אשדוד",שבט זבולון 2,2437-9-7,דירה בבית קומות,5.0,שלישית,106.53,2125000,,,2004.0,,6.0,9945092472,1,24379,False,19% ב 3.7 שנים,אשדוד,שבט זבולון,5.14,2437-9-7,2437/9,19947.432648080357,31.7752002279,34.6361876403,2018
2018-12-31,2018-12-31,"הרותם 5, אשדוד",הרותם 5,2188-20-12,דירה בבית קומות,2.0,שלישית,44.4,790000,,,1977.0,,4.0,9996864864,1,218820,False,,אשדוד,הרותם,,2188-20-12,2188/20,17792.792792792792,31.787907893,34.6558905544,2018
2018-12-31,2018-12-31,"המדע 5, אשדוד",המדע 5,2029-30-99,מלאכה,,רביעית,96.36,725000,,,1994.0,,5.0,9998218356,1,202930,False,,אשדוד,המדע,,2029-30-99,2029/30,7523.868825238688,31.8314518281,34.6711462166,2018
2018-12-31,2018-12-31,"מנחם בגין 126, אשדוד",מנחם בגין 126,2074-189-242,דירה בבית קומות,3.0,שלוש עשרה,74.0,1604000,,,2019.0,,16.0,9996670908,1,2074189,False,,אשדוד,בגין מנחם,,2074-189-242,2074/189,21675.67567567568,31.783551433,34.6538359615,2018
2018-12-31,2018-12-31,"שפיה 20, אשדוד",שפיה 20,2387-11-1,קוטג' דו משפחתי,5.0,,216.0,3500000,,,1993.0,,,9998631384,1,238711,False,,אשדוד,שפיה,,2387-11-1,2387/11,16203.703703703704,31.7808585371,34.660278433,2018
2018-12-31,2018-12-31,"הדולפין 10, אשדוד",הדולפין 10,2076-82-4,דירה בבית קומות,4.0,שניה,120.39,1700000,,,1970.0,,2.0,9998054052,1,207682,False,34% ב 8.9 שנים,אשדוד,הדולפין,3.82,2076-82-4,2076/82,14120.774150676967,31.8031541324,34.6392779853,2018
2018-12-31,2018-12-31,"יהודה המכבי 5, אשדוד",יהודה המכבי 5,2455-17-14,דירה בבית קומות,3.0,רביעית,78.4,1350000,,,2020.0,,4.0,9997507968,1,245517,False,83% ב 7.7 שנים,אשדוד,יהודה המכבי,10.78,2455-17-14,2455/17,17219.387755102038,31.7974573614,34.655925294,2018
2018-12-31,2018-12-31,"האורגים 11, אשדוד",האורגים 11,2453-147-237,משרד,,חמישית,25.0,323000,,,2000.0,,5.0,10004189244,1,2453147,False,,אשדוד,האורגים,,2453-147-237,2453/147,12920.0,31.810429246,34.660192654,2018
2018-12-31,2018-12-31,"הרב מימון 3, אשדוד",הרב מימון 3,2066-419-1,דירה בבית קומות,4.0,קרקע,79.0,1200000,,,1962.0,,3.0,9997072764,1,2066419,False,0% ב 5.5 שנים,אשדוד,הרב מימון,0.0,2066-419-1,2066/419,15189.87341772152,31.8027570647,34.6539612135,2018
2018-12-31,2018-12-31,"גביש 12, אשדוד",גביש 12,2003-87-1,קוטג' חד משפחתי,6.0,,369.0,6700000,,,2005.0,,1.0,9945158244,1,200387,False,,אשדוד,גביש,,2003-87-1,2003/87,18157.18157181572,31.7700833424,34.6218777405,2018
2018-12-31,2018-12-31,"שבט לוי 4, אשדוד",שבט לוי 4,2440-3-49,דירה בבית קומות,5.0,שישית + שביעית,154.2,2300000,,,2001.0,,6.0,9996560616,1,24403,False,182% ב 16.5 שנים,אשדוד,שבט לוי,11.03,2440-3-49,2440/3,14915.693904020753,31.7785190709,34.6379259129,2018
2018-12-31,2018-12-31,"מלכת שבא 4, אשדוד",מלכת שבא 4,2489-128-2,קוטג' דו משפחתי,5.0,קרקע וראשונה,226.1,3750000,,,2001.0,,2.0,9997182216,1,2489128,False,139% ב 14.5 שנים,אשדוד,מלכת שבא,9.59,2489-128-2,2489/128,16585.581601061476,31.7772834667,34.6291806694,2018
2018-12-31,2018-12-31,"רמב""ם 10, אשדוד","רמב""ם 10",2066-349-25,דירה בבית קומות,2.0,קרקע,39.0,810000,,,1960.0,,2.0,10003376460,1,2066349,False,,אשדוד,"רמב""ם",,2066-349-25,2066/349,20769.23076923077,31.8045982631,34.654312588,2018
2018-12-31,2018-12-31,"שלמה בן-יוסף 6, אשדוד",שלמה בן-יוסף 6,2455-63-7,דירה בבית קומות,4.0,רביעית,76.0,1370000,1.0,,1970.0,,4.0,9945211500,1,245563,False,,אשדוד,בן יוסף שלמה,,2455-63-7,2455/63,18026.315789473683,31.7952591476,34.6569989116,2018
2018-12-31,2018-12-31,"אריה בן-אליעזר 10, אשדוד",אריה בן-אליעזר 10,2189-44-6,דירה בבית קומות,3.0,שניה,67.0,1225000,,,1980.0,,7.0,9996142044,1,218944,False,0% ב 1.6 שנים,אשדוד,בן אליעזר אריה,0.0,2189-44-6,2189/44,18283.58208955224,31.8027834047,34.6437633386,2018
2018-12-31,2018-12-31,"אברהם שפירא 13, אשדוד",אברהם שפירא 13,2456-63-4,דירה בבית קומות,2.5,ראשונה,45.8,1080000,,,1970.0,,5.0,9998573172,1,245663,False,,אשדוד,שפירא אברהם,,2456-63-4,2456/63,23580.78602620088,31.7940022949,34.659750125,2018
