DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2019-12-31,2019-12-31,"אברהם בלסבלג 10, אשקלון",אברהם בלסבלג 10,2556-18-111,דירה בבית קומות,5.0,חמש עשרה,138.4,2600000,,,2007.0,,15.0,10800172800,1,255618,False,6% ב 3.7 שנים,אשקלון,בלסבלג אברהם,1.62,2556-18-111,2556/18,18786.127167630057,31.6886398621,34.5774466841,2019
2019-12-31,2019-12-31,"הצופים 3, אשקלון",הצופים 3,2390-13-15,דירה בבית קומות,4.5,חמישית,90.0,1100000,,,1995.0,,6.0,10801750500,1,239013,False,10% ב 3.2 שנים,אשקלון,הצופים,3.12,2390-13-15,2390/13,12222.222222222224,31.6608656137,34.5708337761,2019
2019-12-31,2019-12-31,,,1966-406-8,קרקע למגורים,,,503.0,1600000,,,,,,10802662380,2,1966406,False,,אשקלון,אדלר חנה,,1966-406-8,1966/406,3180.9145129224653,31.6968664146,34.5844835794,2019
2019-12-31,2019-12-31,"יעקב מרידור 8, אשקלון",יעקב מרידור 8,2904-32-38,דירה בבית קומות,5.0,קומה ‎3‏,107.9,1510000,,,2016.0,,10.0,10801257660,1,290432,False,13% ב 3.5 שנים,אשקלון,מרידור יעקב,3.71,2904-32-38,2904/32,13994.439295644112,31.6801457292,34.5794603934,2019
2019-12-31,2019-12-31,"קדש 9, אשקלון",קדש 9,2557-4-27,דירה בבית קומות,5.0,עשירית,155.0,2100000,,,2009.0,,5.0,10800980730,1,25574,False,,אשקלון,קדש,,2557-4-27,2557/4,13548.387096774191,31.6890864082,34.5822508686,2019
2019-12-30,2019-12-30,"לכיש 3, אשקלון",לכיש 3,2508-21-36,דירה בבית קומות,3.0,שניה,67.2,850000,,,1998.0,,5.0,10735315650,1,250821,False,104% ב 17.8 שנים,אשקלון,לכיש,5.84,2508-21-36,2508/21,12648.809523809525,31.6672741952,34.5782024647,2019
2019-12-30,2019-12-30,"ירושלים 157, ",ירושלים 157,2950-28-8,דירה בבית קומות,4.0,קומה ‎2‏,106.12,979000,,,2019.0,,9.0,10801468440,1,295028,False,,אשקלון,ירושלים,,2950-28-8,2950/28,9225.4052016585,31.7024933049,34.5805531501,2019
2019-12-30,2019-12-30,"דפנה 29, אשקלון",דפנה 29,2848-112-2,דירה בבית קומות,5.0,,200.0,2520000,,,1992.0,,,10801766970,1,2848112,False,,אשקלון,דפנה,,2848-112-2,2848/112,12600.0,31.6523794576,34.579481187,2019
2019-12-30,2019-12-30,"עמיעוז 11, אשקלון",עמיעוז 11,2843-22-66,דירה בבית קומות,3.0,רביעית,65.25,862000,,,1998.0,,4.0,10735395120,1,284322,False,,אשקלון,עמיעוז,,2843-22-66,2843/22,13210.72796934866,31.6485072064,34.5569376918,2019
2019-12-29,2019-12-29,"הגת 13, אשקלון",הגת 13,2753-153-89,דירה בבית קומות,4.0,ראשונה,120.0,1385000,,,2016.0,,9.0,10735175430,1,2753153,False,,אשקלון,הגת,,2753-153-89,2753/153,11541.666666666666,31.6918760386,34.5790445962,2019
2019-12-29,2019-12-29,"בית אל 7, אשקלון",בית אל 7,2869-37-32,דירה בבית קומות,4.0,ראשונה,107.9,1275000,,,1990.0,,3.0,10735182000,1,286937,False,,אשקלון,בית אל,,2869-37-32,2869/37,11816.496756255792,31.667273712,34.5594356456,2019
2019-12-29,2019-12-29,"שניר 6, אשקלון",שניר 6,3049-77-2,קוטג' דו משפחתי,3.0,,67.0,1480000,,,1992.0,,1.0,10735142580,1,304977,False,,אשקלון,שניר,,3049-77-2,3049/77,22089.55223880597,31.6792414591,34.5820474511,2019
2019-12-29,2019-12-29,"הסנה 6, אשקלון",הסנה 6,1942-157-64,דירה בבית קומות,4.0,שלישית,88.08,1250000,,,2002.0,,,10800382860,1,1942157,False,125% ב 16.8 שנים,אשקלון,הסנה,7.44,1942-157-64,1942/157,14191.64396003633,31.6679442274,34.5647038996,2019
2019-12-29,2019-12-29,"קדש 23, אשקלון",קדש 23,2556-2-58,דירה בבית קומות,5.0,שישית,136.64,1350000,,,2010.0,,9.0,10800207720,1,25562,False,43% ב 8.9 שנים,אשקלון,קדש,4.83,2556-2-58,2556/2,9879.976580796254,31.6902651735,34.5785226356,2019
2019-12-28,2019-12-28,"משה שרת 38, אשקלון",משה שרת 38,1934-119-23,דירה בבית קומות,4.5,חמישית,97.23,1180000,,,1997.0,,9.0,10735408530,1,1934119,False,16% ב 4 שנים,אשקלון,שרת משה,4.0,1934-119-23,1934/119,12136.171963385788,31.6836673204,34.5774738056,2019
2019-12-26,2019-12-26,"פלוגות 11, אשקלון",פלוגות 11,1945-84-3,בית בודד,5.0,,125.0,2390000,,,1995.0,,1.0,10800134100,1,194584,False,,אשקלון,פלוגות,,1945-84-3,1945/84,19120.0,31.6529960805,34.5518565017,2019
2019-12-26,2019-12-26,,,2556-4-242,דירה בבית קומות,5.0,עשרים,133.0,1915000,,,2019.0,,,10800023400,2,25564,False,,אשקלון,בלפור,,2556-4-242,2556/4,14398.496240601504,31.6905337687,34.5769245426,2019
2019-12-26,2019-12-26,"חודשי השנה 10, אשקלון",חודשי השנה 10,2855-49-56,דירה בבית קומות,4.0,חמישית,114.8,1285000,,,2011.0,,9.0,10735132950,1,285549,False,60% ב 7.6 שנים,אשקלון,חודשי השנה,7.89,2855-49-56,2855/49,11193.379790940768,31.6734615192,34.5765063262,2019
2019-12-26,2019-12-26,"אריה תגר 1, אשקלון",אריה תגר 1,3163-1-5,קרקע למגורים,,,500.0,1690000,,,0.0,,1.0,10800107370,1,31631,False,,אשקלון,תגר אריה,,3163-1-5,3163/1,3380.0,31.7005487213,34.5832632265,2019
2019-12-26,2019-12-26,"ירושלים 25, אשקלון",ירושלים 25,1933-43-15,דירה בבית קומות,3.0,שניה,57.5,850000,,,1970.0,,3.0,10801616310,1,193343,False,,אשקלון,ירושלים,,1933-43-15,1933/43,14782.608695652174,31.6819199875,34.5726299914,2019
2019-12-26,2019-12-26,"כסלו 17, אשקלון",כסלו 17,1353-71-7,דירה בבית קומות,3.0,שלישית,71.7,226000,,,1993.0,,3.0,10735166520,1,135371,False,,אשקלון,כסלו,,1353-71-7,1353/71,3152.0223152022318,31.6726777922,34.5797953857,2019
2019-12-26,2019-12-26,"שאול המלך 4, אשקלון",שאול המלך 4,1961-89-2,דירה בבית קומות,6.0,ראשונה,152.0,2940000,,,1970.0,,1.0,10800487620,1,196189,False,33% ב 3.7 שנים,אשקלון,שאול המלך,8.92,1961-89-2,1961/89,19342.105263157893,31.6707776341,34.5655069472,2019
2019-12-26,2019-12-26,"אברהם בלסבלג 8, אשקלון",אברהם בלסבלג 8,2556-18-44,דירה בבית קומות,4.0,שתים עשרה,118.61,1385000,,,2005.0,,14.0,10735104870,1,255618,False,29% ב 4.9 שנים,אשקלון,בלסבלג אברהם,5.92,2556-18-44,2556/18,11676.92437399882,31.6886398621,34.5774466841,2019
2019-12-25,2019-12-25,,,1225-6-165,דירה בבית קומות,4.0,שלישית,106.0,1330000,,,2014.0,,,10800118620,2,12256,False,,אשקלון,לוחמי הגטאות,,1225-6-165,1225/6,12547.169811320757,,,2019
2019-12-25,2019-12-25,"בר-כוכבא 27, אשקלון",בר-כוכבא 27,2871-97-58,דירה בבית קומות,3.0,חמישית,69.0,850000,,,1970.0,,5.0,10735051410,1,287197,False,140% ב 20.3 שנים,אשקלון,בר כוכבא,6.9,2871-97-58,2871/97,12318.840579710144,31.6827524608,34.5689645164,2019
2019-12-25,2019-12-25,"ביאליק 46, אשקלון",ביאליק 46,1964-109-2,דירה בבית קומות,2.0,קרקע,30.0,406000,,,1960.0,,3.0,10735260750,1,1964109,True,-37% ב 1.8 שנים,אשקלון,ביאליק,-20.56,1964-109-2,1964/109,13533.333333333334,31.6560338695,34.5627495132,2019
2019-12-25,2019-12-25,,,1225-1-128,דירה בבית קומות,4.0,,107.0,1580000,,,2015.0,,,10735163460,2,12251,False,,אשקלון,לוחמי הגטאות,,1225-1-128,1225/1,14766.355140186915,,,2019
2019-12-25,2019-12-25,,,2556-4-55,דירה,5.0,,133.0,1915000,1.0,ARIA,,,,11181207146,2,25564,False,,אשקלון,בלפור,,2556-4-55,2556/4,14398.496240601504,31.6905337687,34.5769245426,2019
2019-12-24,2019-12-24,"אריה 24, אשקלון",אריה 24,1297-5-5,דירה בבית קומות,4.0,שניה,94.4,1035000,,,1992.0,,5.0,10735070580,1,12975,False,31% ב 6 שנים,אשקלון,אריה,5.17,1297-5-5,1297/5,10963.983050847455,31.6636151436,34.5801835589,2019
2019-12-24,2019-12-24,"בלפור 3, אשקלון",בלפור 3,2556-10-48,דירה בבית קומות,4.0,שלוש עשרה,100.75,1700000,,,2009.0,,15.0,10735116570,1,255610,False,41% ב 6.5 שנים,אשקלון,בלפור,6.31,2556-10-48,2556/10,16873.449131513647,31.6867352419,34.575301333,2019
2019-12-24,2019-12-24,"אלי כהן 14, אשקלון",אלי כהן 14,1931-138-23,דירה בבית קומות,4.0,שישית,108.9,900000,,,1980.0,,7.0,10734969600,1,1931138,False,5% ב 5 שנים,אשקלון,אלי כהן,1.0,1931-138-23,1931/138,8264.462809917355,31.6662015093,34.5663560449,2019
2019-12-23,2019-12-23,"הרב פינטו 3, אשקלון",הרב פינטו 3,1997-57-11,דירה בבית קומות,3.0,ראשונה,80.0,880000,,,2000.0,,7.0,10735022340,1,199757,False,,אשקלון,הרב פינטו,,1997-57-11,1997/57,11000.0,31.6523605486,34.5583658625,2019
2019-12-23,2019-12-23,"גדעון בן-יואש 39, אשקלון",גדעון בן-יואש 39,1937-420-2,חנות,,ראשונה,42.55,1000000,,,1970.0,,1.0,10800133380,1,1937420,False,81% ב 2.9 שנים,אשקלון,גדעון בן יואש,27.93,1937-420-2,1937/420,23501.762632197417,31.6901211466,34.5711592717,2019
2019-12-23,2019-12-23,"הפרדס 51, אשקלון",הפרדס 51,1958-181-2,קוטג' דו משפחתי,7.0,קרקע וראשונה,153.0,2425000,,,1999.0,,,10735099650,1,1958181,False,,אשקלון,הפרדס,,1958-181-2,1958/181,15849.67320261438,31.6726314038,34.5600018751,2019
2019-12-23,2019-12-23,"שילה 1, אשקלון",שילה 1,2869-8-52,דירה בבית קומות,4.0,שתים עשרה,84.0,900000,,,2000.0,,13.0,10800747450,1,28698,False,,אשקלון,שילה,,2869-8-52,2869/8,10714.285714285714,31.6698945024,34.5563490531,2019
2019-12-23,2019-12-23,"גדעון בן-יואש 39, אשקלון",גדעון בן-יואש 39,1937-420-3,חנות,,ראשונה,31.85,700000,,,1970.0,,1.0,10800183870,1,1937420,False,77% ב 5 שנים,אשקלון,גדעון בן יואש,15.4,1937-420-3,1937/420,21978.021978021978,31.6901211466,34.5711592717,2019
2019-12-22,2019-12-22,"ירושלים 157, ",ירושלים 157,2950-28-21,דירה בבית קומות,4.0,קומה ‎5‏,106.12,1002000,,,2019.0,,9.0,10801409040,1,295028,False,,אשקלון,ירושלים,,2950-28-21,2950/28,9442.14097248398,31.7024933049,34.5805531501,2019
2019-12-22,2019-12-22,"ירושלים 157, ",ירושלים 157,2950-28-3,דירה בבית קומות,4.0,קומה ‎1‏,106.12,1001000,,,2019.0,,9.0,10801281420,1,295028,False,,אשקלון,ירושלים,,2950-28-3,2950/28,9432.717678100264,31.7024933049,34.5805531501,2019
2019-12-22,2019-12-22,"החרט 56, אשקלון",החרט 56,1207-100-1,חנות,,קרקע,214.6,994000,,,1970.0,,,10801873890,1,1207100,False,29% ב 3.7 שנים,אשקלון,החרט,7.84,1207-100-1,1207/100,4631.873252562908,31.6567519547,34.5888367259,2019
2019-12-22,2019-12-22,"ירושלים 157, ",ירושלים 157,2950-28-2,דירה,3.0,קומה ‎0‏,79.0,755397,1.0,,2019.0,,9.0,10801394100,1,295028,False,,אשקלון,ירושלים,,2950-28-2,2950/28,9561.987341772152,31.7024933049,34.5805531501,2019
2019-12-22,2019-12-22,"ירושלים 157, ",ירושלים 157,2950-28-13,דירה בבית קומות,4.0,קומה ‎3‏,106.12,1003000,,,2019.0,,9.0,10801425510,1,295028,False,,אשקלון,ירושלים,,2950-28-13,2950/28,9451.564266867696,31.7024933049,34.5805531501,2019
2019-12-22,2019-12-22,"שני אליהו 4, אשקלון",שני אליהו 4,3013-11-8,דירה בבית קומות,3.5,שניה,84.1,790000,,,1970.0,,4.0,10800169920,1,301311,False,,אשקלון,שני אליהו,,3013-11-8,3013/11,9393.5790725327,31.6526938884,34.5542522246,2019
2019-12-22,2019-12-22,"ירושלים 157, ",ירושלים 157,2950-28-11,דירה בבית קומות,4.0,קומה ‎3‏,106.12,1000000,,,2019.0,,9.0,10801412820,1,295028,False,,אשקלון,ירושלים,,2950-28-11,2950/28,9423.294383716548,31.7024933049,34.5805531501,2019
2019-12-22,2019-12-22,"ירושלים 157, ",ירושלים 157,2950-28-18,דירה,4.0,קומה ‎4‏,105.74,988647,1.0,,2019.0,,9.0,10801457190,1,295028,False,,אשקלון,ירושלים,,2950-28-18,2950/28,9349.791942500471,31.7024933049,34.5805531501,2019
2019-12-20,2019-12-20,"יהודה הלוי 7, אשקלון",יהודה הלוי 7,1964-13-8,דירה בבית קומות,3.0,ראשונה,50.1,700000,,,1970.0,,3.0,10734661530,1,196413,False,,אשקלון,יהודה הלוי,,1964-13-8,1964/13,13972.055888223553,31.6576986522,34.5652528156,2019
2019-12-19,2019-12-19,"הגליל 800, אשקלון",הגליל 800,1932-79-9,דירה בבית קומות,4.0,שניה,82.0,950000,,,1970.0,,3.0,10734703920,1,193279,False,198% ב 19.7 שנים,אשקלון,הגליל,10.05,1932-79-9,1932/79,11585.365853658535,31.6752977894,34.5709363109,2019
2019-12-19,2019-12-19,"דרום אפריקה 52, אשקלון",דרום אפריקה 52,2871-14-2,בית בודד,4.0,קרקע,119.0,2775000,,,1970.0,,,10800511290,1,287114,False,,אשקלון,דרום אפריקה,,2871-14-2,2871/14,23319.32773109244,31.6803170982,34.5664097974,2019
2019-12-19,2019-12-19,"מודיעין 5, אשקלון",מודיעין 5,1940-68-187,דירה בבית קומות,4.0,שישית,119.0,1470000,,,2021.0,,16.0,10734684480,1,194068,False,,אשקלון,מודיעין,,1940-68-187,1940/68,12352.941176470587,31.6775411974,34.5579888036,2019
