DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2023-12-31,2023-12-31,"העונות 5, ",העונות 5,34574-10-23,חניה,,,,217000,,,2020.0,,7.0,3720994290,1,3457410,False,,בית שמש,העונות,,34574-10-23,34574/10,,31.7025632095,35.0062778034,2023
2023-12-31,2023-12-31,"העלייה 5, בית שמש",העלייה 5,5203-10-72,דירה בבית קומות,4.0,קומה ‎4‏,114.75,2250000,,,2012.0,,15.0,3720561660,1,520310,False,47% ב 7.3 שנים,בית שמש,העליה,6.44,5203-10-72,5203/10,19607.843137254906,31.7557246239,34.9873893367,2023
2023-12-31,2023-12-31,"העונות 3, ",העונות 3,34574-9-32,דירה בבית קומות,5.0,שמינית,139.0,3376000,,,2020.0,,8.0,3720287160,1,345749,False,,בית שמש,העונות,,34574-9-32,34574/9,24287.769784172662,31.7029172642,35.0062333917,2023
2023-12-28,2023-12-28,"העונות 7, ",העונות 7,34574-11-36,דירה בבית קומות,5.0,שמינית,100.0,3595000,,,2020.0,,8.0,3720957450,1,3457411,False,,בית שמש,העונות,,34574-11-36,34574/11,35950.0,31.7022174347,35.0063147086,2023
2023-12-28,2023-12-28,"הסביון 4, בית שמש",הסביון 4,5220-82-5,דירה בבית קומות,3.0,שניה,58.65,1530000,,,1980.0,,3.0,3698003070,1,522082,False,130% ב 9.9 שנים,בית שמש,הסביון,13.13,5220-82-5,5220/82,26086.95652173913,31.7385323572,34.9819011039,2023
2023-12-27,2023-12-27,"בן איש חי 36, בית שמש",בן איש חי 36,5935-19-88,דירה בבית קומות,4.0,קומה ‎7‏,93.82,2740000,,,2010.0,,8.0,3720997770,1,593519,False,69% ב 10.4 שנים,בית שמש,בן איש חי,6.63,5935-19-88,5935/19,29204.860370923045,31.7470632432,35.0009993894,2023
2023-12-27,2023-12-27,"מרים הנביאה 21, בית שמש",מרים הנביאה 21,34518-31-53,דירה בבית קומות,5.0,קומה ‎6‏,141.8,3150000,,,2018.0,,7.0,3720737670,1,3451831,False,,בית שמש,מרים הנביאה,,34518-31-53,34518/31,22214.386459802536,31.7011571312,34.9937866436,2023
2023-12-26,2023-12-26,"יונה בן-אמיתי 16, בית שמש",יונה בן-אמיתי 16,34357-24-89,דירה בבית קומות,3.0,חמישית,68.5,1800000,,,2015.0,,6.0,3697993860,1,3435724,False,,בית שמש,יונה בן אמיתי,,34357-24-89,34357/24,26277.37226277372,31.7045307935,34.9874103504,2023
2023-12-25,2023-12-25,"בן איש חי 3, בית שמש",בן איש חי 3,5935-21-43,דירה בבית קומות,5.0,רביעית,122.0,2800000,,,2006.0,,7.0,3720833940,1,593521,False,,בית שמש,בן איש חי,,5935-21-43,5935/21,22950.819672131147,31.7457665154,34.9993696842,2023
2023-12-24,2023-12-24,"העלייה 9, בית שמש",העלייה 9,5203-10-247,מחסנים,4.0,קומה ‎12‏,109.4,53000,,,2012.0,,15.0,3697826610,1,520310,False,,בית שמש,העליה,,5203-10-247,5203/10,484.4606946983546,31.7557246239,34.9873893367,2023
2023-12-24,2023-12-24,"בן איש חי 61, בית שמש",בן איש חי 61,5934-19-60,מגורים,,,163.0,3000000,,,0.0,,7.0,3721079190,1,593419,False,,בית שמש,בן איש חי,,5934-19-60,5934/19,18404.907975460123,31.7509836575,34.9988520653,2023
2023-12-21,2023-12-21,"השלושה 8, ",השלושה 8,34574-85-104,דירה בבית קומות,4.0,קומה ‎0‏,114.4,3040000,,,2019.0,,10.0,3720016440,1,3457485,False,,בית שמש,כסליו,,34574-85-104,34574/85,26573.42657342657,31.7030922875,35.00511335,2023
2023-12-21,2023-12-21,"נחל לכיש 19, בית שמש",נחל לכיש 19,34274-18-11,דירה בבית קומות,4.0,שניה,107.4,2350000,,,2001.0,,3.0,3720012450,1,3427418,False,,בית שמש,נחל לכיש,,34274-18-11,34274/18,21880.819366852884,31.7132496319,34.9918571996,2023
2023-12-21,2023-12-21,"קרן היסוד 6, בית שמש",קרן היסוד 6,5208-156-10,דירה בבית קומות,3.0,שלישית,62.0,1480000,,,1970.0,,3.0,3697802550,1,5208156,False,,בית שמש,קרן היסוד,,5208-156-10,5208/156,23870.967741935485,31.7501709735,34.9920318824,2023
2023-12-21,2023-12-21,"נחל הקישון 12, בית שמש",נחל הקישון 12,34278-24-7,דירה בבית קומות,3.5,חמישית,76.45,1730000,,,1998.0,,5.0,3697828350,1,3427824,False,,בית שמש,נחל הקישון,,34278-24-7,34278/24,22629.16939175932,31.7174850805,34.9897334747,2023
2023-12-20,2023-12-20,"ירמיהו הנביא 16, בית שמש",ירמיהו הנביא 16,34356-7-94,דירה בבית קומות,4.0,רביעית,86.7,2225000,,,2014.0,,6.0,3697805280,1,343567,False,,בית שמש,ירמיהו הנביא,,34356-7-94,34356/7,25663.20645905421,31.700968317,34.9826763053,2023
2023-12-20,2023-12-20,"בן ציון אבא שאול 2, בית שמש",בן ציון אבא שאול 2,5935-18-45,דירה בבית קומות,5.0,שלישית,110.0,2350000,,,2008.0,,6.0,3698000340,1,593518,False,,בית שמש,בן ציון אבא שאול,,5935-18-45,5935/18,21363.636363636364,31.7469787939,35.0000903465,2023
2023-12-20,2023-12-20,"יחזקאל הנביא 55, בית שמש",יחזקאל הנביא 55,34357-7-17,דירה בבית קומות,2.5,ראשונה,72.0,1350000,,,2014.0,,3.0,3720015180,1,343577,False,,בית שמש,יחזקאל הנביא,,34357-7-17,34357/7,18750.0,31.7015663455,34.9876453481,2023
2023-12-20,2023-12-20,"ז'בוטינסקי 16, בית שמש",ז'בוטינסקי 16,5202-49-1,דירה בבית קומות,4.0,ראשונה,111.0,3570000,,,1950.0,,1.0,3697804290,1,520249,False,,בית שמש,ז'בוטינסקי,,5202-49-1,5202/49,32162.162162162163,31.7527541783,34.9939496675,2023
2023-12-20,2023-12-20,"רבי פנחס בן-יאיר 12, בית שמש",רבי פנחס בן-יאיר 12,5151-9-18,דירה בבית קומות,3.0,שלישית,70.0,1700000,,,2010.0,,6.0,3720227040,1,51519,False,,בית שמש,רבי פנחס בן יאיר,,5151-9-18,5151/9,24285.714285714286,31.735187882,34.9931404813,2023
2023-12-19,2023-12-19,"נחל מאור 9, בית שמש",נחל מאור 9,34270-21-14,קוטג' חד משפחתי,6.0,קרקע ראשונה,157.1,5800000,,,1998.0,,2.0,3720351030,1,3427021,False,,בית שמש,נחל מאור,,34270-21-14,34270/21,36919.15977084659,31.7093075201,35.0016150815,2023
2023-12-19,2023-12-19,"יחזקאל הנביא 7, בית שמש",יחזקאל הנביא 7,34355-89-10,דירה בבית קומות,3.0,שישית,65.7,1860000,,,2013.0,,4.0,3697700370,1,3435589,False,168% ב 10.5 שנים,בית שמש,יחזקאל הנביא,16.0,34355-89-10,34355/89,28310.502283105023,31.7046590281,34.9816494305,2023
2023-12-19,2023-12-19,"המשלט 22, בית שמש",המשלט 22,5208-117-21,דירה בבית קומות,2.0,שלישית,41.1,188000,,,1960.0,,4.0,3720117180,1,5208117,False,,בית שמש,המשלט,,5208-117-21,5208/117,4574.209245742092,31.7499626099,34.994444746,2023
2023-12-17,2023-12-17,"הרצל 22, בית שמש",הרצל 22,5209-94-26,דירה בבית קומות,3.0,שניה,44.5,490000,,,1960.0,,3.0,3720201810,1,520994,False,,בית שמש,הרצל,,5209-94-26,5209/94,11011.23595505618,31.7496594762,34.9908292548,2023
2023-12-17,2023-12-17,"בן איש חי 61, בית שמש",בן איש חי 61,5934-19-51,דירה בבית קומות,3.0,שלישית,100.0,1788000,,,2012.0,,7.0,3697604820,1,593419,False,,בית שמש,בן איש חי,,5934-19-51,5934/19,17880.0,31.7509836575,34.9988520653,2023
2023-12-14,2023-12-14,"בן-אליעזר 2, בית שמש",בן-אליעזר 2,5240-52-31,דירה בבית קומות,4.0,שביעית,80.0,1573000,,,1980.0,,7.0,3697692420,1,524052,False,31% ב 1.8 שנים,בית שמש,בן אליעזר,17.22,5240-52-31,5240/52,19662.5,31.741865293,34.9837844478,2023
2023-12-14,2023-12-14,"חיד""א 2, בית שמש","חיד""א 2",5934-20-24,דירה בבית קומות,3.0,שביעית,70.0,1700000,,,2009.0,,8.0,3697583790,1,593420,False,228% ב 14.8 שנים,בית שמש,"חיד""א",15.41,5934-20-24,5934/20,24285.714285714286,31.7491465451,34.9992394854,2023
2023-12-14,2023-12-14,"חבקוק הנביא 49, בית שמש",חבקוק הנביא 49,34355-112-25,דירה בבית קומות,5.0,שלישית,119.8,2400000,,,2012.0,,4.0,3697704300,1,34355112,False,,בית שמש,חבקוק הנביא,,34355-112-25,34355/112,20033.38898163606,31.7073115767,34.9824103246,2023
2023-12-13,2023-12-13,"הגליל 8, בית שמש",הגליל 8,5232-3-29,דירה בבית קומות,4.0,שלישית,74.0,1925000,,,1995.0,,4.0,3697532760,1,52323,False,,בית שמש,הגליל,,5232-3-29,5232/3,26013.513513513517,31.7470632424,34.9921683282,2023
