DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2019-12-31,2019-12-31,"העצמאות 9, בת ים",העצמאות 9,7143-32-60,דירה בבית קומות,2.0,שמינית,49.0,1614000,,,2016.0,,14.0,6000359100,1,714332,False,,בת ים,העצמאות,,7143-32-60,7143/32,32938.77551020408,32.0227650945,34.7413927532,2019
2019-12-30,2019-12-30,"הגליל 3, בת ים",הגליל 3,7152-244-2,דירה בבית קומות,4.0,ראשונה,96.3,1910000,,,1950.0,,2.0,5965191600,1,7152244,False,,בת ים,הגליל,,7152-244-2,7152/244,19833.85254413292,32.0269591445,34.7550849246,2019
2019-12-30,2019-12-30,"החרושת 20, בת ים",החרושת 20,7129-134-23,משרד,,שלוש עשרה,77.0,929000,,,2020.0,,29.0,6001260900,1,7129134,False,,בת ים,החרושת,,7129-134-23,7129/134,12064.935064935064,32.0132941368,34.7519503401,2019
2019-12-30,2019-12-30,"רוטשילד 35, בת ים",רוטשילד 35,7147-113-32,דירה בבית קומות,3.0,שניה,60.24,1360000,,,1970.0,,3.0,6000187200,1,7147113,False,,בת ים,רוטשילד,,7147-113-32,7147/113,22576.36122177955,32.027509414,34.7476924788,2019
2019-12-30,2019-12-30,"בלפור 96, בת ים",בלפור 96,7140-191-14,דירה בבית קומות,2.0,שניה,62.5,1300000,,,1970.0,,5.0,6000029150,1,7140191,False,,בת ים,בלפור,,7140-191-14,7140/191,20800.0,32.016914391,34.7446563927,2019
2019-12-29,2019-12-29,"בן-גוריון 89, בת ים",בן-גוריון 89,7139-96-0,חנות,,ראשונה,555.0,2400000,,,2016.0,,7.0,6000715150,1,713996,False,,בת ים,בן גוריון,,7139-96-0,7139/96,4324.324324324324,32.0179366971,34.7390846896,2019
2019-12-29,2019-12-29,"הרצל 79, בת ים",הרצל 79,7136-285-6,דירה בבית קומות,4.0,שלישית,97.6,2000000,,,2002.0,,5.0,5965186250,1,7136285,False,50% ב 7.5 שנים,בת ים,הרצל,6.67,7136-285-6,7136/285,20491.803278688527,32.0193354073,34.7459741471,2019
2019-12-29,2019-12-29,"ששת הימים 18, בת ים",ששת הימים 18,7155-187-3,דירה בבית קומות,2.0,ראשונה,55.93,1220000,,,1970.0,,5.0,6000080350,1,7155187,False,,בת ים,ששת הימים,,7155-187-3,7155/187,21812.98051135348,32.0177832127,34.752032171,2019
2019-12-29,2019-12-29,"כהן אלי 2, בת ים",כהן אלי 2,7128-49-12,דירה בבית קומות,4.0,שניה,65.0,1100000,,,1970.0,,4.0,6000044000,1,712849,False,15% ב 7.1 שנים,בת ים,כהן אלי,2.11,7128-49-12,7128/49,16923.076923076922,32.0096514542,34.7580465043,2019
2019-12-29,2019-12-29,"השר פנקס 7, בת ים",השר פנקס 7,7136-367-6,דירה בבית קומות,2.5,ראשונה,60.16,1350000,,,1970.0,,5.0,6000648400,1,7136367,False,,בת ים,השר פנקס,,7136-367-6,7136/367,22440.159574468085,32.0184232424,34.7485571517,2019
