DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2011-12-31,2011-12-31,"נורדאו 31, הרצלייה",נורדאו 31,6520-3-1,מחסנים,,ראשונה,39.0,450000,,,1960.0,,3.0,8290089612,1,65203,False,80% ב 2.4 שנים,הרצלייה,נורדאו,33.33,6520-3-1,6520/3,11538.46153846154,32.1708362655,34.8150121469,2011
2011-12-30,2011-12-30,"העוגן 4, הרצלייה",העוגן 4,6516-16-43,דירת נופש,2.0,רביעית,56.3,2080000,,,2005.0,,6.0,8289512042,1,651616,False,85% ב 7 שנים,הרצלייה,העוגן,12.14,6516-16-43,6516/16,36944.9378330373,32.1591960165,34.7947789632,2011
2011-12-29,2011-12-29,"מלכי ישראל 8, הרצלייה",מלכי ישראל 8,6530-144-3,דירה בבית קומות,5.0,חמישית,113.0,1637000,1.0,פרוייקט המלכים,1960.0,2012.0,1.0,8288653124,1,6530144,False,,הרצלייה,מלכי ישראל,,6530-144-3,6530/144,14486.725663716814,32.1706686543,34.8416563924,2011
2011-12-29,2011-12-29,"אבטליון 3, הרצלייה",אבטליון 3,6527-334-10,דירה בבית קומות,4.0,שלישית,96.17,1565000,,,1980.0,,8.0,8288136086,1,6527334,False,,הרצלייה,אבטליון,,6527-334-10,6527/334,16273.266091296662,32.1676055116,34.8343572696,2011
2011-12-29,2011-12-29,"ניל""י 50, הרצלייה","ניל""י 50",6668-1114-3,חנות,,קרקע,27.0,319000,,,1970.0,,3.0,8291108518,1,66681114,False,,הרצלייה,"ניל""י",,6668-1114-3,6668/1114,11814.814814814816,32.1737425142,34.8079400866,2011
2011-12-28,2011-12-28,"אליהו גולומב 69, הרצלייה",אליהו גולומב 69,6536-922-4,דירה בבית קומות,5.0,שניה,115.0,2300000,,,2000.0,,5.0,8289133532,1,6536922,False,,הרצלייה,גולומב אליהו,,6536-922-4,6536/922,20000.0,32.174354203,34.8496004505,2011
2011-12-26,2011-12-26,"אליהו גולומב 73, הרצלייה",אליהו גולומב 73,6536-921-3,דירה בבית קומות,4.0,שישית,100.0,2210000,,,1999.0,,7.0,8288150590,1,6536921,False,,הרצלייה,גולומב אליהו,,6536-921-3,6536/921,22100.0,32.1743031956,34.8504061916,2011
2011-12-26,2011-12-26,"קהילת ציון 17, הרצלייה",קהילת ציון 17,6537-86-6,דירה בבית קומות,4.5,שלישית+גג,113.4,1740000,,,1970.0,,3.0,8288164650,1,653786,False,100% ב 8.3 שנים,הרצלייה,קהילת ציון,12.05,6537-86-6,6537/86,15343.915343915343,32.1652967034,34.8489077198,2011
2011-12-25,2011-12-25,"ברנר 1, הרצלייה",ברנר 1,6546-64-1,חנות,,ראשונה,33.0,526000,,,1960.0,,2.0,8288034632,1,654664,False,,הרצלייה,ברנר,,6546-64-1,6546/64,15939.39393939394,32.1573276143,34.842651277,2011
2011-12-25,2011-12-25,"משכית 22, הרצלייה",משכית 22,6420-85-23,חנות,,קרקע,51.2,1500000,,,1994.0,,3.0,8289672622,1,642085,False,,הרצלייה,משכית,,6420-85-23,6420/85,29296.875,32.1639496732,34.8102733918,2011
2011-12-25,2011-12-25,"מעפילי מרוקו 7, הרצלייה",מעפילי מרוקו 7,6577-61-4,דירה בבית קומות,3.0,ראשונה,40.8,820000,,,1960.0,,4.0,8229690294,1,657761,False,,הרצלייה,מעפילי מרוקו,,6577-61-4,6577/61,20098.03921568628,32.1759629515,34.8531187163,2011
2011-12-25,2011-12-25,"הרב קוק 27, הרצלייה",הרב קוק 27,6538-627-2,דירה בבית קומות,5.0,ראשונה,109.82,1835000,,,1989.0,,4.0,8229674606,1,6538627,False,,הרצלייה,הרב קוק,,6538-627-2,6538/627,16709.160444363504,32.1611971041,34.8396556672,2011
2011-12-22,2011-12-22,"דוד המלך 60, הרצלייה",דוד המלך 60,6666-796-1,קוטג' דו משפחתי,5.0,,200.0,9700000,,,1979.0,,,8289237280,1,6666796,False,,הרצלייה,דוד המלך,,6666-796-1,6666/796,48500.0,32.1736004439,34.812420811,2011
2011-12-22,2011-12-22,"הכוזרי 15, הרצלייה",הכוזרי 15,6538-422-22,דירה בבית קומות,3.0,שלישית,55.0,1200000,,,1960.0,,3.0,8288156732,1,6538422,False,93% ב 12.7 שנים,הרצלייה,הכוזרי,7.32,6538-422-22,6538/422,21818.18181818182,32.1637649758,34.8480526663,2011
2011-12-21,2011-12-21,"סוקולוב 31, הרצלייה",סוקולוב 31,6533-248-28,דירה בבית קומות,3.5,שלישית,75.1,1325000,,,1970.0,,3.0,8288138380,1,6533248,False,101% ב 8.3 שנים,הרצלייה,סוקולוב,12.17,6533-248-28,6533/248,17643.142476697736,32.1676394804,34.8419315396,2011
2011-12-21,2011-12-21,"רבנו תם 6, הרצלייה",רבנו תם 6,6527-240-14,דירה בבית קומות,3.0,שניה,53.0,550000,,,1960.0,,3.0,8229744758,1,6527240,False,,הרצלייה,רבנו תם,,6527-240-14,6527/240,10377.358490566035,32.1634902059,34.8308905357,2011
2011-12-21,2011-12-21,"ח""ן 3, הרצלייה","ח""ן 3",6533-3-1,חנות,,,1000.0,8557000,,,1970.0,,1.0,8229722040,1,65333,False,,הרצלייה,"ח""ן",,6533-3-1,6533/3,8557.0,32.1676948065,34.8422990596,2011
2011-12-21,2011-12-21,"כיבוש העבודה 12, הרצלייה",כיבוש העבודה 12,6536-873-19,דירת גג,5.0,שלישית+גג,110.6,2765000,,,1994.0,,5.0,8288163466,1,6536873,False,90% ב 9.6 שנים,הרצלייה,כבוש העבודה,9.38,6536-873-19,6536/873,25000.0,32.1718513996,34.8440808072,2011
2011-12-21,2011-12-21,"הנוטרים 2, הרצלייה",הנוטרים 2,6537-133-1,דירה בבית קומות,3.0,ראשונה,65.0,1280000,,,1970.0,,3.0,8229570710,1,6537133,False,61% ב 9.8 שנים,הרצלייה,הנוטרים,6.22,6537-133-1,6537/133,19692.30769230769,32.1671702516,34.8517846547,2011
2011-12-21,2011-12-21,"יצחק שדה 30, הרצלייה",יצחק שדה 30,6558-237-3,דירה בבית קומות,1.0,ראשונה,30.0,1400000,,,1962.0,,1.0,8288848410,1,6558237,False,,הרצלייה,יצחק שדה,,6558-237-3,6558/237,46666.66666666666,32.1645366315,34.8577543685,2011
2011-12-21,2011-12-21,"ח""ן 3, הרצלייה","ח""ן 3",6533-3-2,חנות,,ראשונה,1000.0,8588000,,,1970.0,,1.0,8229723964,1,65333,False,,הרצלייה,"ח""ן",,6533-3-2,6533/3,8588.0,32.1676948065,34.8422990596,2011
2011-12-20,2011-12-20,"אמנון ותמר 4, הרצלייה",אמנון ותמר 4,6544-59-2,דירה בבית קומות,5.0,קרקע ראשונה,129.9,2200000,,,1989.0,,6.0,8229435142,1,654459,False,1% ב 1.4 שנים,הרצלייה,אמנון ותמר,0.71,6544-59-2,6544/59,16936.104695919938,32.1520605849,34.8485762762,2011
2011-12-19,2011-12-19,"אלוף יגאל אלון 10, הרצלייה",אלוף יגאל אלון 10,6532-261-13,דירה בבית קומות,3.5,רביעית,68.6,1500000,,,1970.0,,4.0,8229552358,1,6532261,False,146% ב 13.9 שנים,הרצלייה,אלוף אלון יגאל,10.5,6532-261-13,6532/261,21865.88921282799,32.1685621277,34.845657939,2011
2011-12-19,2011-12-19,"העצמאות 5, הרצלייה",העצמאות 5,6538-390-6,דירה בבית קומות,2.0,ראשונה,44.8,800000,,,1950.0,,2.0,8290596216,1,6538390,False,,הרצלייה,העצמאות,,6538-390-6,6538/390,17857.14285714286,32.1633609557,34.8383526559,2011
2011-12-18,2011-12-18,"הס 32, הרצלייה",הס 32,6538-432-51,דירה בבית קומות,3.0,שלישית,67.79,945000,,,1960.0,,3.0,8229499892,1,6538432,True,-2% ב 11.5 שנים,הרצלייה,הס,-0.17,6538-432-51,6538/432,13940.109160643162,32.1641596052,34.841301191,2011
2011-12-15,2011-12-15,"בני בנימין 7, הרצלייה",בני בנימין 7,6528-125-1,דירה בבית קומות,3.0,קרקע,57.0,1070000,,,1970.0,,3.0,8288711732,1,6528125,False,,הרצלייה,בני בנימין,,6528-125-1,6528/125,18771.929824561405,32.1708833414,34.8395166706,2011
2011-12-15,2011-12-15,"מלכי ישראל 9, הרצלייה",מלכי ישראל 9,6528-67-2,דירה בבית קומות,5.0,רביעית,150.0,2475000,1.0,,1984.0,,2.0,8229746534,1,652867,False,,הרצלייה,מלכי ישראל,,6528-67-2,6528/67,16500.0,32.1709331474,34.8412361581,2011
2011-12-15,2011-12-15,"הנשיא יצחק בן-צבי 62, הרצלייה",הנשיא יצחק בן-צבי 62,6669-81-1,קוטג' דו משפחתי,5.0,קרקע+ראשןנה,114.0,5650000,,,1965.0,,,8288225034,1,666981,False,,הרצלייה,הנשיא יצחק בן צבי,,6669-81-1,6669/81,49561.40350877193,32.1839453262,34.8118332478,2011
2011-12-14,2011-12-14,"בן-יהודה 60, הרצלייה",בן-יהודה 60,6546-502-9,דירה בבית קומות,3.0,שניה,58.0,1160000,,,1970.0,,4.0,8229121382,1,6546502,False,,הרצלייה,בן יהודה,,6546-502-9,6546/502,20000.0,32.1571530553,34.8452286012,2011
2011-12-14,2011-12-14,"טשרניחובסקי 27, הרצלייה",טשרניחובסקי 27,6530-250-2,דירה בבית קומות,3.0,ראשונה,58.87,1280000,,,1980.0,,3.0,8229428408,1,6530250,False,79% ב 12.7 שנים,הרצלייה,טשרניחובסקי,6.22,6530-250-2,6530/250,21742.82316969594,32.170295275,34.8401087763,2011
2011-12-14,2011-12-14,"הגדוד העברי 11, הרצלייה",הגדוד העברי 11,6536-745-8,קוטג' דו משפחתי,5.0,"מרתף,קרקע,ראשונה",150.66,2860000,,,1978.0,,,8229665356,1,6536745,False,90% ב 6.5 שנים,הרצלייה,הגדוד העברי,13.85,6536-745-8,6536/745,18983.14084694013,32.1743653559,34.8442817161,2011
2011-12-13,2011-12-13,"אמנון ותמר 18, הרצלייה",אמנון ותמר 18,6544-63-26,דירה בבית קומות,5.0,קרקע+רביעית,132.86,2350000,,,1992.0,,6.0,8229730698,1,654463,False,,הרצלייה,אמנון ותמר,,6544-63-26,6544/63,17687.7916603944,32.1534569193,34.8502232784,2011
2011-12-12,2011-12-12,"משה סמילנסקי 4, הרצלייה",משה סמילנסקי 4,6526-174-12,קוטג' דו משפחתי,5.0,מרתף+קרקע+ראשונה,200.47,3060000,,,1980.0,,,8288143412,1,6526174,False,,הרצלייה,סמילנסקי משה,,6526-174-12,6526/174,15264.129296154038,32.172306105,34.8385396764,2011
2011-12-12,2011-12-12,"בארי 29, הרצלייה",בארי 29,6546-248-4,קוטג' דו משפחתי,5.0,מרתף+קרקע+ראשונה,188.1,3500000,,,1999.0,,,8229055374,1,6546248,False,,הרצלייה,בארי,,6546-248-4,6546/248,18607.123870281765,32.1558233046,34.8400428884,2011
2011-12-12,2011-12-12,"מעפילי מרוקו 38, הרצלייה",מעפילי מרוקו 38,6577-113-5,דירה בבית קומות,2.0,ראשונה,40.8,750000,,,1960.0,,2.0,8288546120,1,6577113,False,,הרצלייה,מעפילי מרוקו,,6577-113-5,6577/113,18382.352941176472,32.1756184587,34.8554069286,2011
2011-12-12,2011-12-12,"רחל המשוררת 2, הרצלייה",רחל המשוררת 2,6524-83-9,דירה בבית קומות,6.0,שניה,156.0,3420000,,,2012.0,,6.0,8288646390,1,652483,False,,הרצלייה,רחל המשוררת,,6524-83-9,6524/83,21923.07692307692,32.1735019699,34.8318399048,2011
2011-12-08,2011-08-12,"נתן אלתרמן 6, הרצלייה",נתן אלתרמן 6,6526-228-10,דירה בבית קומות,5.0,קרקע+שלישית+רביעית,123.81,2670000,,,1993.0,,2.0,8224852100,1,6526228,False,,הרצלייה,אלתרמן נתן,,6526-228-10,6526/228,21565.301671916644,32.1744723786,34.8410234902,2011
2011-12-07,2011-07-12,"המקובלים 1, הרצלייה",המקובלים 1,6546-615-31,דירה בבית קומות,5.0,שמינית,113.0,2400000,,,1970.0,,9.0,8223961510,1,6546615,False,,הרצלייה,המקובלים,,6546-615-31,6546/615,21238.938053097347,32.1540862735,34.8391595377,2011
2011-12-07,2011-07-12,"לח""י 25, הרצלייה","לח""י 25",6668-1412-1,קוטג' דו משפחתי,5.0,,270.0,9168000,,,1991.0,,1.0,8223622590,1,66681412,False,,הרצלייה,"לח""י",,6668-1412-1,6668/1412,33955.555555555555,32.1741420943,34.8054571208,2011
2011-12-07,2011-07-12,"המעפילים 7, הרצלייה",המעפילים 7,6669-230-1,קוטג' חד משפחתי,7.0,מרתף ראשונה ושניה,234.9,9615000,,,1972.0,,,8223609196,1,6669230,False,,הרצלייה,המעפילים,,6669-230-1,6669/230,40932.31162196679,32.1828829716,34.805692281,2011
2011-12-06,2011-06-12,"צמרות 10, הרצלייה",צמרות 10,6545-38-41,דירה בבית קומות,5.0,תשיעית,143.8,4000000,,,2000.0,,29.0,8222133636,1,654538,False,,הרצלייה,צמרות,,6545-38-41,6545/38,27816.411682892904,32.1514074582,34.8458200181,2011
2011-12-06,2011-06-12,"רינה 16, הרצלייה",רינה 16,6557-105-1,דירה בבית קומות,5.0,,150.0,2400000,,,1954.0,,,8228201488,1,6557105,False,,הרצלייה,רינה,,6557-105-1,6557/105,16000.0,32.1610170886,34.8611683044,2011
2011-12-05,2011-05-12,"בני בנימין 29, הרצלייה",בני בנימין 29,6528-133-1,דירה בבית קומות,5.0,ראשונה,110.0,2000000,,,1994.0,,3.0,8220524950,1,6528133,False,66% ב 6.2 שנים,הרצלייה,בני בנימין,10.65,6528-133-1,6528/133,18181.81818181818,32.1731865644,34.8411017046,2011
2011-12-04,2011-04-12,"אוסישקין 32, הרצלייה",אוסישקין 32,6539-154-1,דירה בבית קומות,5.0,קרקע,90.75,2835000,,,2000.0,,2.0,8219764378,1,6539154,False,140% ב 3.6 שנים,הרצלייה,אוסישקין,38.89,6539-154-1,6539/154,31239.669421487604,32.1609316537,34.8494754068,2011
