DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2007-12-31,2007-12-31,"העלייה השנייה 24, חדרה",העלייה השנייה 24,10034-151-2,קוטג' חד משפחתי,5.0,,125.0,,,,1980.0,,1.0,7020232895,1,10034151,False,,חדרה,העליה השניה,,10034-151-2,10034/151,,32.4401870175,34.9225870268,2007
2007-12-31,2007-12-31,"הרצל 43, חדרה",הרצל 43,10036-492-32,דירה בבית קומות,4.0,חמישית,104.3,,,,1996.0,,6.0,7020649610,1,10036492,False,,חדרה,הרצל,,10036-492-32,10036/492,,32.4384486066,34.9190206896,2007
2007-12-30,2007-12-30,"השלכת 12, חדרה",השלכת 12,10062-164-1,קוטג' דו משפחתי,7.0,קרקע ראשונה ושניה,130.5,,,,1993.0,,,7020307450,1,10062164,False,,חדרה,השלכת,,10062-164-1,10062/164,,32.4137106565,34.949217805,2007
2007-12-30,2007-12-30,"המגינים 6, חדרה",המגינים 6,10016-197-5,קוטג' דו משפחתי,6.0,,160.0,,,,2007.0,,,7021019070,1,10016197,False,,חדרה,המגינים,,10016-197-5,10016/197,,32.4487134613,34.9034406692,2007
2007-12-30,2007-12-30,"האזוב 4, חדרה",האזוב 4,10402-242-3,דירה בבית קומות,5.0,,150.0,,,,2008.0,,1.0,7020230230,1,10402242,False,,חדרה,האזוב,,10402-242-3,10402/242,,32.4251465519,34.9270463715,2007
2007-12-30,2007-12-30,"הגיבורים 55, חדרה",הגיבורים 55,10037-320-6,דירה בבית קומות,3.0,שלישית,78.0,,,,1970.0,,3.0,7020106925,1,10037320,False,,חדרה,הגבורים,,10037-320-6,10037/320,,32.4363741397,34.9221828977,2007
2007-12-27,2007-12-27,"בן-גוריון 535, חדרה",בן-גוריון 535,10580-47-15,דירה בבית קומות,3.0,רביעית,65.24,,,,1970.0,,4.0,7020787865,1,1058047,False,,חדרה,בן גוריון,,10580-47-15,10580/47,,32.4399726057,34.8902498991,2007
2007-12-27,2007-12-27,"תרנ""א 53, חדרה","תרנ""א 53",10037-452-8,דירה בבית קומות,3.0,קרקע,67.7,,,,1960.0,,2.0,7020263380,1,10037452,True,-17% ב 9.4 שנים,חדרה,"תרנ""א",-1.81,10037-452-8,10037/452,,32.4371298244,34.9251443291,2007
2007-12-27,2007-12-27,"הרב ניסים 7, חדרה",הרב ניסים 7,10570-488-1,דירה בבית קומות,3.0,ראשונה,48.0,,,,2026.0,,3.0,7020014625,1,10570488,False,,חדרה,הרב ניסים,,10570-488-1,10570/488,,32.4399759081,34.8888954068,2007
2007-12-27,2007-12-27,"ירושלים 67, חדרה",ירושלים 67,10034-343-1,דירה בבית קומות,3.0,,90.0,,,,1950.0,,,7020117065,1,10034343,False,,חדרה,ירושלים,,10034-343-1,10034/343,,32.4432508942,34.9282764083,2007
2007-12-27,2007-12-27,"השחף 46, חדרה",השחף 46,10008-255-3,קוטג' דו משפחתי,5.0,,150.0,,,,2000.0,,,7020343265,1,10008255,False,,חדרה,השחף,,10008-255-3,10008/255,,32.4455620976,34.8872569905,2007
2007-12-27,2007-12-27,"אליהו גולומב 2, חדרה",אליהו גולומב 2,10032-383-26,דירה בבית קומות,3.0,שלישית,65.1,,,,1980.0,,8.0,7020173420,1,10032383,False,,חדרה,גולומב אליהו,,10032-383-26,10032/383,,32.4349507641,34.9266999096,2007
2007-12-26,2007-12-26,"לויטס 4, חדרה",לויטס 4,10062-90-3,קוטג' דו משפחתי,6.0,,160.0,,,,2000.0,,,7020746135,1,1006290,False,,חדרה,לויטס,,10062-90-3,10062/90,,32.4150311157,34.9454805266,2007
2007-12-26,2007-12-26,"מבצע חורב 19, חדרה",מבצע חורב 19,10056-16-3,קוטג' חד משפחתי,5.0,,170.0,,,,1940.0,,,7020303160,1,1005616,False,,חדרה,מבצע חורב,,10056-16-3,10056/16,,32.4604585408,34.8993888506,2007
2007-12-25,2007-12-25,"גפנוביץ 3, חדרה",גפנוביץ 3,10063-45-1,דירה בבית קומות,3.0,,78.0,,,,1975.0,,,6962368335,1,1006345,False,,חדרה,גפנוביץ,,10063-45-1,10063/45,,32.4195107746,34.9465859752,2007
2007-12-25,2007-12-25,"הבונים 46, חדרה",הבונים 46,7727-234-3,קוטג' דו משפחתי,6.0,,140.0,,,,2001.0,,,7020104715,1,7727234,False,,חדרה,הבונים,,7727-234-3,7727/234,,32.4259698102,34.9535235021,2007
2007-12-24,2007-12-24,"מבצע דני 1, חדרה",מבצע דני 1,10009-402-3,קוטג' דו משפחתי,5.0,,140.0,,,,1993.0,,,7020105885,1,10009402,False,,חדרה,מבצע דני,,10009-402-3,10009/402,,32.4443345459,34.8988546271,2007
2007-12-24,2007-12-24,"סמסנוב 2, חדרה",סמסנוב 2,10037-103-3,דירה בבית קומות,3.0,קרקע על עמודים,84.0,,,,1970.0,,3.0,6962366190,1,10037103,False,,חדרה,סמסונוב,,10037-103-3,10037/103,,32.4330816527,34.9211169057,2007
2007-12-24,2007-12-24,"הגר""א 4, חדרה","הגר""א 4",10013-32-5,קוטג' חד משפחתי,4.0,,100.0,,,,1995.0,,1.0,7020235105,1,1001332,False,,חדרה,"הגר""א",,10013-32-5,10013/32,,32.4514801036,34.9060594624,2007
2007-12-24,2007-12-24,"דגניה 8, חדרה",דגניה 8,10035-126-11,דירה בבית קומות,3.0,שלישית,70.13,,,,1970.0,,3.0,6962389200,1,10035126,False,,חדרה,דגניה,,10035-126-11,10035/126,,32.4412073198,34.9215705596,2007
2007-12-23,2007-12-23,"הגבורים 93, חדרה",הגבורים 93,10034-212-3,דירה בבית קומות,4.0,ראשונה,89.71,,,,1970.0,,3.0,7020176670,1,10034212,False,,חדרה,הגבורים,,10034-212-3,10034/212,,32.4399738225,34.9235549377,2007
2007-12-23,2007-12-23,"מילנר 62, חדרה",מילנר 62,10061-26-11,דירה בבית קומות,4.0,שניה + שלישית,95.4,,,,1993.0,,4.0,7020073060,1,1006126,False,,חדרה,מילנר,,10061-26-11,10061/26,,32.416818624,34.9489840298,2007
2007-12-23,2007-12-23,"ההסתדרות 15, חדרה",ההסתדרות 15,10016-351-1,קוטג' דו משפחתי,5.0,,150.0,,,,2005.0,,,7021182545,1,10016351,False,,חדרה,ההסתדרות,,10016-351-1,10016/351,,32.4482436368,34.9082661876,2007
2007-12-23,2007-12-23,"סלוצקין 31, חדרה",סלוצקין 31,10062-19-6,דירה בבית קומות,3.0,שניה,63.9,,,,1990.0,,2.0,7020042055,1,1006219,False,,חדרה,סלוצקין,,10062-19-6,10062/19,,32.415374456,34.9464317453,2007
2007-12-20,2007-12-20,"רמב""ם 5, חדרה","רמב""ם 5",10042-132-3,דירה בבית קומות,5.0,,150.0,,,,1992.0,,1.0,7020439920,1,10042132,False,,חדרה,"רמב""ם",,10042-132-3,10042/132,,32.4347892405,34.9125533161,2007
2007-12-20,2007-12-20,"תרנ""א 57, חדרה","תרנ""א 57",10037-228-17,דירה בבית קומות,4.0,,100.0,,,,2007.0,,7.0,6962301320,1,10037228,False,,חדרה,"תרנ""א",,10037-228-17,10037/228,,32.4374409362,34.9252828937,2007
2007-12-19,2007-12-19,"רוטשילד 4, חדרה",רוטשילד 4,10037-309-7,קוטג' דו משפחתי,5.0,מרתף קרקע ראשונה,152.8,,,,1987.0,,,6962255235,1,10037309,False,,חדרה,רוטשילד,,10037-309-7,10037/309,,32.4323901894,34.9196825174,2007
2007-12-19,2007-12-19,"חטיבת הנח""ל 15, חדרה","חטיבת הנח""ל 15",10038-65-28,דירה בבית קומות,4.0,שביעית,90.95,,,,2005.0,,9.0,7020033410,1,1003865,False,0% ב 1.3 שנים,חדרה,"חטיבת הנח""ל",0.0,10038-65-28,10038/65,,32.4322336093,34.9308908798,2007
2007-12-19,2007-12-19,"גולדה מאיר 22, חדרה",גולדה מאיר 22,10042-46-3,קוטג' חד משפחתי,5.0,,100.0,,,,1950.0,,1.0,7020910130,1,1004246,False,,חדרה,גולדה מאיר,,10042-46-3,10042/46,,32.433434874,34.9118388844,2007
2007-12-19,2007-12-19,"ז'בוטינסקי 39, חדרה",ז'בוטינסקי 39,10037-116-3,דירה בבית קומות,4.0,שניה,103.8,,,,1993.0,,5.0,6962261670,1,10037116,False,,חדרה,ז'בוטינסקי,,10037-116-3,10037/116,,32.4324466773,34.9228105459,2007
2007-12-18,2007-12-18,"הטייסים 5, חדרה",הטייסים 5,10035-118-5,קוטג' דו משפחתי,6.0,,167.0,,,,1995.0,,1.0,7020288665,1,10035118,False,,חדרה,הטייסים,,10035-118-5,10035/118,,32.4453467357,34.9210768098,2007
2007-12-18,2007-12-18,"הרצל 43, חדרה",הרצל 43,10036-492-21,דירה בבית קומות,4.0,ראשונה,108.0,,,,1996.0,,6.0,7020040365,1,10036492,False,,חדרה,הרצל,,10036-492-21,10036/492,,32.4384486066,34.9190206896,2007
