DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2012-12-31,2012-12-31,"פיכמן 17, חולון",פיכמן 17,6867-23-326,דירה בבית קומות,4.0,שלישית,100.0,1632000,,,2014.0,,22.0,3277762874,1,686723,False,,חולון,פיכמן,,6867-23-326,6867/23,16320.0,32.0149873125,34.775938756,2012
2012-12-31,2012-12-31,"ההסתדרות 193, חולון",ההסתדרות 193,6020-526-19,דירה בבית קומות,2.5,שלישית,48.85,730000,,,1960.0,,6.0,3277202565,1,6020526,False,,חולון,ההסתדרות,,6020-526-19,6020/526,14943.705220061413,32.0132413888,34.7890435942,2012
2012-12-31,2012-12-31,"דוד אלעזר 71, חולון",דוד אלעזר 71,6750-221-22,דירה בבית קומות,5.0,שישית,105.39,1300000,,,1998.0,,8.0,3277349189,1,6750221,False,65% ב 13 שנים,חולון,אלעזר דוד,5.0,6750-221-22,6750/221,12335.136160926084,32.0054551084,34.784899986,2012
2012-12-31,2012-12-31,"נעמי שמר 6, חולון",נעמי שמר 6,6872-24-19,דירה בבית קומות,5.0,חמישית,122.14,1900000,,,2014.0,,10.0,3277303978,1,687224,False,,חולון,שמר נעמי,,6872-24-19,6872/24,15555.919436711967,32.0057896244,34.7726101464,2012
2012-12-31,2012-12-31,"הבנאי 18, חולון",הבנאי 18,6784-31-14,תעשיה,,קרקע,259.6,1781000,,,1971.0,,,3278429178,1,678431,False,,חולון,הבנאי,,6784-31-14,6784/31,6860.55469953775,32.0151488613,34.8034773834,2012
2012-12-31,2012-12-31,"דגניה 8, חולון",דגניה 8,6867-45-12,דירה בבית קומות,4.0,רביעית,105.58,1830000,,,2014.0,,18.0,3277516200,1,686745,False,40% ב 4.2 שנים,חולון,דגניה,9.52,6867-45-12,6867/45,17332.828187156658,32.015316775,34.7771133386,2012
2012-12-31,2012-12-31,"דוד אלעזר 75, חולון",דוד אלעזר 75,6750-225-9,דירה בבית קומות,4.0,שלישית,88.0,1150000,,,1983.0,,5.0,3278052613,1,6750225,False,,חולון,אלעזר דוד,,6750-225-9,6750/225,13068.181818181818,32.0047587311,34.7847905459,2012
2012-12-31,2012-12-31,"דגניה 8, חולון",דגניה 8,6867-45-8,דירה בבית קומות,4.0,שלישית,105.42,1819000,,,2014.0,,18.0,3277515736,1,686745,False,,חולון,דגניה,,6867-45-8,6867/45,17254.790362360083,32.015316775,34.7771133386,2012
2012-12-31,2012-12-31,"הערבה 12, חולון",הערבה 12,7127-35-1,דירה בבית קומות,2.0,ראשונה,43.5,700000,,,1970.0,,4.0,3277198940,1,712735,False,,חולון,הערבה,,7127-35-1,7127/35,16091.954022988506,32.0124064935,34.7635171468,2012
2012-12-31,2012-12-31,"המרכבה 25, חולון",המרכבה 25,6788-3-17,תעשיה,,"קרקע,ראשנה,שניה",2751.03,300000,,,1970.0,,1.0,3278502925,1,67883,False,,חולון,המרכבה,,6788-3-17,6788/3,109.0500648847886,32.0129814827,34.80955191,2012
2012-12-30,2012-12-30,"קרן היסוד 1, חולון",קרן היסוד 1,7341-49-35,חנות,,ראשונה,36.0,690000,,,1970.0,,1.0,3277702090,1,734149,False,,חולון,קרן היסוד,,7341-49-35,7341/49,19166.666666666668,32.0078587275,34.7914447508,2012
2012-12-30,2012-12-30,"שבזי 3, חולון",שבזי 3,7162-217-13,דירה בבית קומות,2.0,שלישית,32.5,500000,,,1960.0,,3.0,3277558801,1,7162217,False,,חולון,שבזי,,7162-217-13,7162/217,15384.615384615385,32.0229653396,34.7618510004,2012
2012-12-30,2012-12-30,"גולומב 26, חולון",גולומב 26,7176-103-17,דירה בבית קומות,4.0,שלישית,83.0,1165000,,,1960.0,,4.0,3277117595,1,7176103,False,,חולון,גולומב,,7176-103-17,7176/103,14036.144578313251,32.0166174792,34.7682831555,2012
2012-12-30,2012-12-30,"סעדיה גאון 8, חולון",סעדיה גאון 8,7163-213-3,דירה בבית קומות,3.0,ראשונה,56.63,1050000,,,1970.0,,4.0,3277435058,1,7163213,False,,חולון,סעדיה גאון,,7163-213-3,7163/213,18541.40914709518,32.0239843892,34.7662883698,2012
2012-12-30,2012-12-30,"פיכמן 17, חולון",פיכמן 17,6867-23-9,דירה,4.0,שניה,119.0,1632000,1.0,מגדלי נוה בשדרה בחולון,2014.0,,22.0,11181286486,1,686723,False,,חולון,פיכמן,,6867-23-9,6867/23,13714.285714285714,32.0149873125,34.775938756,2012
