DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2005-12-30,2005-12-30,"חטיבת כרמלי 27, חיפה",חטיבת כרמלי 27,10920-110-19,דירה בבית קומות,3.0,חמישית,52.26,317000,,,1996.0,,6.0,4244623800,1,10920110,False,,חיפה,חטיבת כרמלי,,10920-110-19,10920/110,6065.8247225411405,32.7966564596,35.017963702,2005
2005-12-30,2005-12-30,"פרופ' יוחנן רטנר 41, חיפה",פרופ' יוחנן רטנר 41,10922-17-57,דירה בבית קומות,3.0,שתים עשרה,68.8,377000,,,1970.0,,16.0,4240533800,1,1092217,False,,חיפה,רטנר יוחנן פרופ',,10922-17-57,10922/17,5479.6511627906975,32.7926358687,35.0071259675,2005
2005-12-30,2005-12-30,"אהרון צייטלין 20, חיפה",אהרון צייטלין 20,11585-185-19,דירה בבית קומות,3.0,שניה,63.0,312000,,,1981.0,,4.0,4240896120,1,11585185,False,,חיפה,צייטלין אהרון,,11585-185-19,11585/185,4952.380952380952,32.8176026586,35.0690553362,2005
2005-12-30,2005-12-30,"אהרון צייטלין 20, חיפה",אהרון צייטלין 20,11585-185-21,דירה בבית קומות,3.0,שלישית,63.0,307000,,,1981.0,,4.0,4240895160,1,11585185,False,,חיפה,צייטלין אהרון,,11585-185-21,11585/185,4873.015873015873,32.8176026586,35.0690553362,2005
2005-12-30,2005-12-30,"לבונה 12, חיפה",לבונה 12,12135-32-19,דירה בבית קומות,3.0,חמישית,75.22,654000,,,2006.0,,5.0,4241398400,1,1213532,False,,חיפה,לבונה,,12135-32-19,12135/32,8694.496144642382,32.8074812334,34.967633049,2005
2005-12-29,2005-12-29,"עבאס 83, חיפה",עבאס 83,11362-34-2,דירה בבית קומות,1.0,קרקע,,68000,,,1950.0,,4.0,4241173640,1,1136234,False,,חיפה,עבאס,,11362-34-2,11362/34,,32.8158428619,34.9851098903,2005
2005-12-29,2005-12-29,"שיבת ציון 40, חיפה",שיבת ציון 40,10841-8-2,חנות,,קרקע,59.92,183000,,,1920.0,,7.0,4240421240,1,108418,False,,חיפה,שיבת ציון,,10841-8-2,10841/8,3054.072096128171,32.8143628292,35.000958822,2005
2005-12-29,2005-12-29,"ציזלינג 4, חיפה",ציזלינג 4,11583-64-1,דירה בבית קומות,6.0,ראשונה,140.0,762000,,,1980.0,,1.0,4240071160,1,1158364,False,,חיפה,ציזלינג אהרון,,11583-64-1,11583/64,5442.857142857143,32.8223184164,35.0776138356,2005
2005-12-29,2005-12-29,"חיים לסקוב 41, חיפה",חיים לסקוב 41,10800-204-6,דירה בבית קומות,5.0,שניה,119.0,1331000,,,2004.0,,1.0,4240376000,1,10800204,False,,חיפה,"לסקוב חיים רא""ל",,10800-204-6,10800/204,11184.873949579833,32.7712339465,35.0063612724,2005
2005-12-29,2005-12-29,"זלמן שניאור 1, חיפה",זלמן שניאור 1,11196-26-50,דירה בבית קומות,3.0,שלישית,48.0,277000,,,1960.0,,6.0,4240366080,1,1119626,False,,חיפה,שניאור זלמן,,11196-26-50,11196/26,5770.833333333333,32.7754670087,35.0087104758,2005
