DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2008-12-31,2008-12-31,"עזריאל 15, ירושלים",עזריאל 15,30096-82-3,דירה בבית קומות,3.0,ראשונה,56.0,590000,,,1980.0,,4.0,3270626010,1,3009682,False,,ירושלים,עזריאל,,30096-82-3,30096/82,10535.714285714286,31.7929070974,35.1943743765,2008
2008-12-31,2008-12-31,"ירושלים 24, ראשון לציון",ירושלים 24,3937-182-15,דירה בבית קומות,4.0,חמישית,86.95,720000,,,1970.0,,5.0,9157590708,1,3937182,False,,ירושלים,ראשון לציון,,3937-182-15,3937/182,8280.621046578493,31.9618368656,34.8099410504,2008
2008-12-31,2008-12-31,"חברון 58, ירושלים",חברון 58,30013-31-6,דירה בבית קומות,3.0,שניה,53.54,840000,,,1940.0,,3.0,3245358270,1,3001331,False,,ירושלים,חברון,,30013-31-6,30013/31,15689.204333208816,31.7591727139,35.223041955,2008
2008-12-31,2008-12-31,"כנפי נשרים 13, ירושלים",כנפי נשרים 13,30262-171-8,משרד,,,1100.0,15991000,,,1999.0,,4.0,3270063630,1,30262171,False,,ירושלים,כנפי נשרים,,30262-171-8,30262/171,14537.272727272728,31.7872035924,35.1841517592,2008
2008-12-31,2008-12-31,"עזרא 31, ירושלים",עזרא 31,30084-38-3,דירה בבית קומות,3.0,,68.0,997000,,,1940.0,,1.0,3245481540,1,3008438,False,,ירושלים,עזרא,,30084-38-3,30084/38,14661.764705882351,31.7916613928,35.2171298261,2008
2008-12-31,2008-12-31,"מרדכי היהודי 23, ירושלים",מרדכי היהודי 23,30013-35-3,דירה בבית קומות,8.0,מרתף קרקע וראשונה,227.8,4790000,,,1985.0,,2.0,3245441130,1,3001335,False,,ירושלים,מרדכי היהודי,,30013-35-3,30013/35,21027.21685689201,31.758882658,35.2222868754,2008
2008-12-31,2008-12-31,"המגלית 17, ירושלים",המגלית 17,30726-20-1,דירה בבית קומות,6.0,ראשונה,215.0,2560000,,,1980.0,,,3245382510,1,3072620,False,,ירושלים,המגלית,,30726-20-1,30726/20,11906.976744186046,31.8069290521,35.1973975378,2008
2008-12-31,2008-12-31,"דבש 204, ירושלים",דבש 204,28050-27-51,דירה בבית קומות,4.0,קרקע,84.0,850000,,,1980.0,,3.0,3245350320,1,2805027,False,,ירושלים,דבש,,28050-27-51,28050/27,10119.047619047618,31.7281688051,35.1889002875,2008
2008-12-31,2008-12-31,"מרים החשמונאית 6, ירושלים",מרים החשמונאית 6,30013-2-4,דירה בבית קומות,4.0,קרקע,117.0,3911000,,,1960.0,,2.0,3270437910,1,300132,False,,ירושלים,מרים החשמונאית,,30013-2-4,30013/2,33427.35042735043,31.7608465146,35.2236766842,2008
2008-12-31,2008-12-31,"יד חרוצים 18, ירושלים",יד חרוצים 18,30140-6-2,תעשיה,,מרתף,1280.8,10700000,,,1988.0,,3.0,3270168330,1,301406,False,,ירושלים,יד חרוצים,,30140-6-2,30140/6,8354.153653966272,31.7511252716,35.2153689273,2008
