DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2011-12-29,2011-12-29,"יאיר רוזנבלום 8, כפר סבא",יאיר רוזנבלום 8,6430-246-36,דירה בבית קומות,6.0,קרקע תחתונה + עשירית,134.2,2065000,,,2012.0,,14.0,8288033300,1,6430246,False,,כפר סבא,רוזנבלום יאיר,,6430-246-36,6430/246,15387.48137108793,32.1882350802,34.893219952,2011
2011-12-28,2011-12-28,"אהוד מנור 2, כפר סבא",אהוד מנור 2,6430-259-6,דירה בבית קומות,6.0,שניה,140.5,2050000,,,2010.0,,4.0,8288137788,1,6430259,False,7% ב 1 שנים,כפר סבא,מנור אהוד,7.0,6430-259-6,6430/259,14590.747330960854,32.1873160719,34.8965453022,2011
2011-12-28,2011-12-28,"אנגל 26, כפר סבא",אנגל 26,7621-475-12,דירה בבית קומות,7.0,"שישית, שביעית",206.85,2740000,,,2012.0,,7.0,8288137196,1,7621475,False,,כפר סבא,אנגל,,7621-475-12,7621/475,13246.313753927969,32.1947047792,34.8933220873,2011
2011-12-27,2011-12-27,"גלעד 5, כפר סבא",גלעד 5,6439-461-6,דירה בבית קומות,4.0,שלישית,118.0,1800000,,,2003.0,,5.0,8288146446,1,6439461,False,83% ב 8.1 שנים,כפר סבא,גלעד,10.25,6439-461-6,6439/461,15254.237288135591,32.1723529949,34.9126591114,2011
2011-12-27,2011-12-27,"הזמר 3, כפר סבא",הזמר 3,6433-644-4,דירה בבית קומות,4.0,שלישית,97.56,1700000,,,1991.0,,4.0,8288463758,1,6433644,False,,כפר סבא,הזמר,,6433-644-4,6433/644,17425.174251742515,32.1784249117,34.9098966479,2011
2011-12-27,2011-12-27,"תל חי 75, כפר סבא",תל חי 75,6433-712-1,קוטג' דו משפחתי,6.0,מרתף+קרקע+ראשונה+שני,174.4,2380000,,,1989.0,,3.0,8288008288,1,6433712,False,,כפר סבא,תל חי,,6433-712-1,6433/712,13646.788990825688,32.1787376466,34.9152629985,2011
2011-12-26,2011-12-26,"הכרמל 82, כפר סבא",הכרמל 82,6433-366-6,דירה בבית קומות,4.0,שלישית,95.64,1425000,,,1970.0,,5.0,8288067636,1,6433366,False,80% ב 12 שנים,כפר סבא,הכרמל,6.67,6433-366-6,6433/366,14899.623588456712,32.1762363702,34.9164851148,2011
2011-12-26,2011-12-26,"זמיר 20, כפר סבא",זמיר 20,9088-13-28,דירה בבית קומות,5.5,חמישית+שישית+קרקע,145.4,2320000,,,2008.0,,5.0,8288098716,1,908813,False,,כפר סבא,זמיר,,9088-13-28,9088/13,15955.983493810178,32.1867962472,34.928971656,2011
2011-12-25,2011-12-25,"בן גוריון 22, כפר סבא",בן גוריון 22,6426-470-0,קומבינציה,,,687.0,2643000,,,0.0,,4.0,8289399192,1,6426470,False,,כפר סבא,בן גוריון,,6426-470-0,6426/470,3847.161572052402,32.1731098799,34.9044621902,2011
2011-12-25,2011-12-25,"הרצל 41, כפר סבא",הרצל 41,6439-158-3,דירה בבית קומות,4.0,ראשונה,85.34,1200000,,,2021.0,,5.0,8288422318,1,6439158,False,,כפר סבא,הרצל,,6439-158-3,6439/158,14061.401453011484,32.1731883845,34.9103557635,2011
