DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2002-12-31,2002-12-31,"ניצה 8, נתניה",ניצה 8,8272-220-60,,4.0,שלישית,96.0,767000,,,1990.0,,11.0,7622519998,1,8272220,False,,נתניה,ניצה,,8272-220-60,8272/220,7989.583333333333,32.3364902037,34.8523790124,2002
2002-12-31,2002-12-31,"אברהם שפיגלמן 2, נתניה",אברהם שפיגלמן 2,9901-43-63,,4.0,שמינית,113.1,860000,,,2002.0,,8.0,7622555444,1,990143,False,,נתניה,שפיגלמן אברהם,,9901-43-63,9901/43,7603.890362511052,32.3096610417,34.8727820496,2002
2002-12-31,2002-12-31,"אברהם שפיגלמן 4, נתניה",אברהם שפיגלמן 4,9901-43-70,דירה בבית קומות,2.5,שנייה,82.1,600000,,,2004.0,,9.0,7622948014,1,990143,False,,נתניה,שפיגלמן אברהם,,9901-43-70,9901/43,7308.16077953715,32.3096610417,34.8727820496,2002
2002-12-31,2002-12-31,"תשרי 9, נתניה",תשרי 9,9904-54-10,דירה בבית קומות,4.0,שלישית,99.45,717000,,,2002.0,,7.0,7622797202,1,990454,False,,נתניה,תשרי,,9904-54-10,9904/54,7209.653092006033,32.2973461822,34.872079724,2002
2002-12-31,2002-12-31,"דוד המלך 24, נתניה",דוד המלך 24,8270-43-49,,4.0,שלוש עשרה,88.44,971000,,,1999.0,,15.0,7622104932,1,827043,False,,נתניה,דוד המלך,,8270-43-49,8270/43,10979.194934418816,32.3338759654,34.8525208778,2002
2002-12-30,2002-12-30,"שטמפפר 3, נתניה",שטמפפר 3,8264-133-26,,3.0,שלישית,54.66,393000,,,1970.0,,6.0,7622458282,1,8264133,False,,נתניה,שטמפפר,,8264-133-26,8264/133,7189.901207464325,32.3288118899,34.8554723797,2002
2002-12-30,2002-12-30,"גולדה מאיר 4, נתניה",גולדה מאיר 4,7928-15-94,,3.0,שמינית,63.2,405000,,,1980.0,,8.0,7623984014,1,792815,False,,נתניה,גולדה מאיר,,7928-15-94,7928/15,6408.227848101265,32.2787796463,34.8528015974,2002
2002-12-30,2002-12-30,"שיטרית 17, נתניה",שיטרית 17,7944-47-29,,3.0,רביעית,42.0,344000,,,1960.0,,4.0,7624773446,1,794447,False,,נתניה,שיטרית,,7944-47-29,7944/47,8190.476190476191,32.2811698514,34.8544994892,2002
2002-12-30,2002-12-30,"לאה גולדברג 12, נתניה",לאה גולדברג 12,8230-306-21,דירה בבית קומות,5.0,מרתף+קרקע+ראשונה,186.0,1051000,,,2000.0,,,7559786868,1,8230306,False,,נתניה,גולדברג לאה,,8230-306-21,8230/306,5650.537634408603,32.3379842414,34.8697023862,2002
2002-12-30,2002-12-30,"ניצה 4, נתניה",ניצה 4,8270-36-23,,3.0,שישית,75.0,918000,,,1970.0,,4.0,7622375180,1,827036,False,,נתניה,ניצה,,8270-36-23,8270/36,12240.0,32.335586326,34.8523123988,2002
