DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
1999-12-31,1999-12-31,"חדרה 26, פתח תקווה",חדרה 26,7194-14-24,מגורים,5.0,שלישית,108.0,984000,,,1999.0,,4.0,2900565848,1,719414,False,,פתח תקווה,חדרה,,7194-14-24,7194/14,9111.111111111111,32.1041106174,34.8704555686,1999
1999-12-31,1999-12-31,"יחיאל צ'לנוב 11, פתח תקווה",יחיאל צ'לנוב 11,6355-162-6,,5.0,שלישית,125.0,698000,,,1970.0,,3.0,2901004879,1,6355162,False,,פתח תקווה,צ'לנוב יחיאל,,6355-162-6,6355/162,5584.0,32.0941786533,34.8938249908,1999
1999-12-31,1999-12-31,"הגר""א 4, פתח תקווה","הגר""א 4",6400-522-4,,4.0,שניה,95.86,768000,,,1985.0,,5.0,2901087906,1,6400522,False,,פתח תקווה,"הגר""א",,6400-522-4,6400/522,8011.683705403714,32.0974352578,34.8977969706,1999
1999-12-31,1999-12-31,"אליעזר קפלן 49, פתח תקווה",אליעזר קפלן 49,6372-196-3,,3.0,קומה ‎0‏,101.34,614000,,,1976.0,,5.0,2900234233,1,6372196,False,,פתח תקווה,קפלן אליעזר,,6372-196-3,6372/196,6058.811920268403,32.0823438446,34.8678754721,1999
1999-12-31,1999-12-31,"האחים שטרייט 12, פתח תקווה",האחים שטרייט 12,6361-57-9,,5.0,חמישית+גג,91.6,851000,,,1999.0,,5.0,2900029203,1,636157,False,,פתח תקווה,האחים שטרייט,,6361-57-9,6361/57,9290.393013100438,32.0939253128,34.8843735346,1999
1999-12-31,1999-12-31,"פינסקר 49, פתח תקווה",פינסקר 49,6375-73-21,דירה בבית קומות,4.0,חמישית,90.0,735000,,,1998.0,,8.0,2900033727,1,637573,False,,פתח תקווה,פינסקר,,6375-73-21,6375/73,8166.666666666667,32.0919153748,34.882821814,1999
1999-12-31,1999-12-31,"פינסקר 34, פתח תקווה",פינסקר 34,6377-18-8,,4.0,שניה,74.2,498000,,,1970.0,,3.0,2900329005,1,637718,False,,פתח תקווה,פינסקר,,6377-18-8,6377/18,6711.590296495957,32.0932976743,34.8833325268,1999
1999-12-30,1999-12-30,"חדרה 25, פתח תקווה",חדרה 25,7195-70-15,,,רביעית,71.0,699000,,,2000.0,,7.0,2900599836,1,719570,False,,פתח תקווה,חדרה,,7195-70-15,7195/70,9845.070422535213,32.1025871754,34.8714085912,1999
1999-12-30,1999-12-30,"שמואל סלנט 35, פתח תקווה",שמואל סלנט 35,6397-103-3,,3.0,א,63.4,560000,,,1960.0,,4.0,2900138591,1,6397103,False,,פתח תקווה,סלנט שמואל,,6397-103-3,6397/103,8832.807570977919,32.0815214211,34.8892828008,1999
1999-12-30,1999-12-30,"האירוסים 4, פתח תקווה",האירוסים 4,6374-271-43,,3.0,שמינית,73.77,573000,,,1970.0,,8.0,2900592905,1,6374271,False,,פתח תקווה,האירוסים,,6374-271-43,6374/271,7767.385115900773,32.0898305545,34.8787909246,1999
1999-12-30,1999-12-30,"מזכרת בתיה 1, פתח תקווה",מזכרת בתיה 1,7195-22-126,דירה בבית קומות,5.0,שישית+שביעית,126.46,1047000,,,1998.0,,8.0,2900378044,1,719522,False,,פתח תקווה,מזכרת בתיה,,7195-22-126,7195/22,8279.29780167642,32.1009907384,34.8750268287,1999
1999-12-30,1999-12-30,"גרניט 1, פתח תקווה",גרניט 1,6364-60-3,,,,220.0,1297000,,,1997.0,,5.0,2901016798,1,636460,False,,פתח תקווה,גרניט,,6364-60-3,6364/60,5895.454545454545,,,1999
1999-12-30,1999-12-30,"בר-כוכבא 39, פתח תקווה",בר-כוכבא 39,6361-67-2,,,קרקע,,311000,,,1960.0,,2.0,2900822788,1,636167,False,,פתח תקווה,בר כוכבא,,6361-67-2,6361/67,,32.0941372133,34.8853569678,1999
1999-12-30,1999-12-30,"הרב קטרוני 44, פתח תקווה",הרב קטרוני 44,6397-173-32,,3.0,שמינית,68.21,747000,,,1999.0,,13.0,2900157934,1,6397173,False,,פתח תקווה,הרב קטרוני,,6397-173-32,6397/173,10951.473390998388,32.0808145703,34.8900408627,1999
