DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2011-12-30,2011-12-30,"ההתיישבות 5, ראשון לציון",ההתיישבות 5,6286-398-32,דירת גן,6.0,"ראשונה, קרקע עליונה",173.85,2111000,,,2010.0,,7.0,9410777964,1,6286398,False,,ראשון לציון,ההתיישבות,,6286-398-32,6286/398,12142.651711245328,31.9697361389,34.8231279202,2011
2011-12-29,2011-12-29,"שלמה אלירז 1, ראשון לציון",שלמה אלירז 1,3930-131-760,דירה בבית קומות,4.0,שלוש עשרה,100.0,1251300,1.0,דוניץ בקרית האמנים,2018.0,,24.0,9410381568,1,3930131,False,,ראשון לציון,אלירז שלמה,,3930-131-760,3930/131,12513.0,31.9660405558,34.818461625,2011
2011-12-29,2011-12-29,"דוידזון 1, ראשון לציון",דוידזון 1,3939-290-18,דירה בבית קומות,3.0,שישית,90.0,1150000,1.0,דוידזון 1,1980.0,2011.0,4.0,9409868916,1,3939290,False,107% ב 10 שנים,ראשון לציון,דוידזון,10.7,3939-290-18,3939/290,12777.777777777776,31.9706557334,34.8140283645,2011
2011-12-29,2011-12-29,"הרב נריה 12, ראשון לציון",הרב נריה 12,5116-83-7,דירה בבית קומות,3.0,שניה,65.4,1125000,,,1997.0,,7.0,9408771792,1,511683,False,61% ב 4.5 שנים,ראשון לציון,הרב נריה,13.56,5116-83-7,5116/83,17201.83486238532,31.9731307354,34.773879271,2011
2011-12-28,2011-12-28,"שדה נחום 9, ראשון לציון",שדה נחום 9,5387-50-16,דירה בבית קומות,3.0,רביעית,68.0,1295000,,,1993.0,,9.0,9409181292,1,538750,False,24% ב 1.1 שנים,ראשון לציון,שדה נחום,21.82,5387-50-16,5387/50,19044.117647058825,31.9650847842,34.7805627194,2011
2011-12-28,2011-12-28,"רבי יהודה הנשיא 19, ראשון לציון",רבי יהודה הנשיא 19,4247-566-5,דירה בבית קומות,4.0,שלישית,99.02,1515000,,,1999.0,,4.0,9408268716,1,4247566,False,,ראשון לציון,רבי יהודה הנשיא,,4247-566-5,4247/566,15299.93940618057,31.9477019833,34.8136183874,2011
2011-12-28,2011-12-28,"דוד סחרוב 22, ראשון לציון",דוד סחרוב 22,6097-226-21,חנות,,,60.0,415000,,,1997.0,,2.0,9409426068,1,6097226,False,,ראשון לציון,סחרוב דוד,,6097-226-21,6097/226,6916.666666666667,31.9899057377,34.7724345253,2011
2011-12-28,2011-12-28,"קפלנסקי 28, ראשון לציון",קפלנסקי 28,3926-675-5,דירה בבית קומות,4.0,שניה,120.5,1110000,,,1970.0,,6.0,9408661668,1,3926675,False,,ראשון לציון,קפלנסקי,,3926-675-5,3926/675,9211.61825726141,31.9580694349,34.7976575622,2011
2011-12-28,2011-12-28,"חיל התותחנים 14, ראשון לציון",חיל התותחנים 14,5037-5-1,קוטג' דו משפחתי,6.0,מרתף קרקע + א' + ב',191.9,2200000,,,1987.0,,3.0,9409075368,1,50375,False,,ראשון לציון,חיל התותחנים,,5037-5-1,5037/5,11464.304325169358,31.9969148327,34.737784577,2011
2011-12-28,2011-12-28,"העוגב 12, ראשון לציון",העוגב 12,5182-61-16,דירה בבית קומות,3.0,רביעית,75.0,1193000,,,1997.0,,6.0,9349364472,1,518261,False,,ראשון לציון,העוגב,,5182-61-16,5182/61,15906.666666666666,31.9683615457,34.7727570299,2011
