DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2023-12-31,2023-12-31,"יצחק יעקובי 4, רחובות",יצחק יעקובי 4,3697-556-7,דירה בבית קומות,4.0,חמישית,105.0,1900000,,,1996.0,,3.0,10416018900,1,3697556,False,,רחובות,יעקובי יצחק,,3697-556-7,3697/556,18095.23809523809,31.8815331983,34.8131834041,2023
2023-12-31,2023-12-31,"אליהו גלזר 11, רחובות",אליהו גלזר 11,3703-1014-15,דירה בבית קומות,4.0,רביעית,97.58,2070000,,,1970.0,,5.0,10416073752,1,37031014,False,219% ב 23.7 שנים,רחובות,גלזר אליהו,9.24,3703-1014-15,3703/1014,21213.363394138145,31.8992154946,34.8135596095,2023
2023-12-28,2023-12-28,"דובנוב 4, רחובות",דובנוב 4,3679-81-51,דירה בבית קומות,4.0,חמישית,110.75,2310000,,,2010.0,,8.0,10358518716,1,367981,False,122% ב 13.5 שנים,רחובות,דובנוב,9.04,3679-81-51,3679/81,20857.787810383747,31.8871555952,34.7907843753,2023
2023-12-28,2023-12-28,"גורודיסקי 32, רחובות",גורודיסקי 32,3700-157-9,דירה בבית קומות,5.0,ראשונה,142.0,3150000,,,2022.0,,3.0,10416109704,1,3700157,False,,רחובות,גורודיסקי,,3700-157-9,3700/157,22183.098591549297,31.8976320877,34.8215522176,2023
2023-12-27,2023-12-27,"סירני 3, רחובות",סירני 3,3704-797-26,מסחרי + משרדים,,קומה ‎-1‏,745.58,2400000,,,1997.0,,9.0,10417167348,1,3704797,False,,רחובות,סירני,,3704-797-26,3704/797,3218.970465945975,31.8933700365,34.821569487,2023
2023-12-27,2023-12-27,"גבריאלוב 31, רחובות",גבריאלוב 31,3653-188-68,דירה בבית קומות,3.0,שישית,82.0,2115000,,,2028.0,,4.0,10417154916,1,3653188,False,,רחובות,גבריאלוב,,3653-188-68,3653/188,25792.682926829268,31.8867201115,34.7852429197,2023
2023-12-27,2023-12-27,"חיים קאופמן 1, רחובות",חיים קאופמן 1,3698-468-20,דירה בבית קומות,4.0,עשירית,109.0,2560000,,,2015.0,,8.0,10358449416,1,3698468,False,,רחובות,קאופמן חיים,,3698-468-20,3698/468,23486.23853211009,31.8842484985,34.8199940381,2023
2023-12-27,2023-12-27,"ש' בן-ציון 9, רחובות",ש' בן-ציון 9,3702-285-11,דירה בבית קומות,4.0,שלישית,85.21,2100000,,,1970.0,,4.0,10416754992,1,3702285,False,,רחובות,ש בן ציון,,3702-285-11,3702/285,24644.994718929705,31.8978753642,34.8045500902,2023
2023-12-27,2023-12-27,"דולינסקי 3, רחובות",דולינסקי 3,3698-48-5,דירה בבית קומות,4.0,שניה,91.53,1900000,,,1997.0,,3.0,10416483168,1,369848,False,235% ב 19 שנים,רחובות,דולינסקי,12.37,3698-48-5,3698/48,20758.221348191848,31.8819701639,34.8244312914,2023
2023-12-27,2023-12-27,"כרמל 19, רחובות",כרמל 19,5908-72-54,דירה בבית קומות,3.0,רביעית,87.0,2430000,,,2020.0,,12.0,10417103508,1,590872,False,,רחובות,כרמל,,5908-72-54,5908/72,27931.03448275862,31.9080390947,34.822620159,2023
