DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2021-12-31,2021-12-31,"פרופס 5, רמת גן",פרופס 5,6182-526-22,דירה בבית קומות,4.0,שישית,101.7,1800000,,,1985.0,,9.0,3538485576,1,6182526,False,,רמת גן,פרופס,,6182-526-22,6182/526,17699.11504424779,32.0670477219,34.8297029612,2021
2021-12-31,2021-12-31,"תלפיות 23, רמת גן",תלפיות 23,6205-606-9,דירה בבית קומות,3.0,רביעית,70.0,1200000,1.0,תלפיות 23,1960.0,2019.0,3.0,3539384199,1,6205606,False,,רמת גן,תלפיות,,6205-606-9,6205/606,17142.85714285714,32.0872268028,34.8098630479,2021
2021-12-30,2021-12-30,"הרא""ה 67, רמת גן","הרא""ה 67",6159-362-7,דירה בבית קומות,2.0,שניה,50.0,1845000,,,1960.0,,3.0,3524000830,1,6159362,False,47% ב 6.3 שנים,רמת גן,"הרא""ה",7.46,6159-362-7,6159/362,36900.0,32.0836252955,34.8240528945,2021
2021-12-30,2021-12-30,,,6142-89-18,דירה בבית קומות,3.0,שניה,77.0,2581000,,,2024.0,,,3539344962,2,614289,False,,רמת גן,הטייסים,,6142-89-18,6142/89,33519.48051948052,32.0522614976,34.8136094452,2021
2021-12-30,2021-12-30,"תובל 21, רמת גן",תובל 21,6109-347-289,משרד,,עשרים ותשע,185.0,3059000,,,1988.0,,29.0,3539053280,1,6109347,False,,רמת גן,תובל,,6109-347-289,6109/347,16535.135135135137,32.0838519184,34.8021240457,2021
2021-12-30,2021-12-30,"תובל 21, רמת גן",תובל 21,6109-347-290,משרד,,עשרים ותשע,191.0,3084000,,,1988.0,,29.0,3539067461,1,6109347,False,,רמת גן,תובל,,6109-347-290,6109/347,16146.596858638744,32.0838519184,34.8021240457,2021
2021-12-30,2021-12-30,"נחמיה תמרי 13, רמת גן",נחמיה תמרי 13,6158-1634-10,דירה בבית קומות,3.0,קומה ‎3‏,67.6,2140000,,,2018.0,,9.0,3538789902,1,61581634,False,,רמת גן,תמרי נחמיה,,6158-1634-10,6158/1634,31656.80473372781,32.0765070554,34.8265158612,2021
2021-12-30,2021-12-30,"תרצה 4, רמת גן",תרצה 4,6186-267-15,דירה בבית קומות,4.0,שישית,82.0,2270000,,,2019.0,,6.0,3539617243,1,6186267,False,,רמת גן,תרצה,,6186-267-15,6186/267,27682.926829268294,32.0753968303,34.8288533253,2021
2021-12-30,2021-12-30,"מגדים 14, רמת גן",מגדים 14,6125-668-45,דירה בבית קומות,3.0,רביעית,70.6,2080000,,,1960.0,,8.0,3538335066,1,6125668,False,,רמת גן,מגדים,,6125-668-45,6125/668,29461.75637393768,32.0882768714,34.8222128462,2021
2021-12-30,2021-12-30,"הביל""ויים 44, רמת גן","הביל""ויים 44",6180-438-30,דירה בבית קומות,4.0,חמישית,67.0,1840000,,,1970.0,,9.0,3538356613,1,6180438,False,,רמת גן,הבילויים,,6180-438-30,6180/438,27462.68656716418,32.0599772062,34.8255365981,2021
2021-12-30,2021-12-30,"הטייסים 3, רמת גן",הטייסים 3,6142-89-112,דירה בבית קומות,4.0,עשרים ושתיים,90.0,3354000,,,2022.0,,2.0,3538867941,1,614289,False,,רמת גן,הטייסים,,6142-89-112,6142/89,37266.66666666666,32.0522614976,34.8136094452,2021
2021-12-29,2021-12-29,"אנה פרנק 15, רמת גן",אנה פרנק 15,6207-132-14,דירה בבית קומות,4.0,שישית,97.0,3725000,,,2021.0,,7.0,3538826761,1,6207132,False,,רמת גן,אנה פרנק,,6207-132-14,6207/132,38402.0618556701,32.090566518,34.8036404099,2021
2021-12-29,2021-12-29,"הגת 23, רמת גן",הגת 23,6126-455-57,דירה בבית קומות,2.0,שלישית,50.0,1650000,,,1950.0,,3.0,3523956634,1,6126455,False,,רמת גן,הגת,,6126-455-57,6126/455,33000.0,32.0835136929,34.8210266167,2021
2021-12-29,2021-12-29,"ז'בוטינסקי 8, רמת גן",ז'בוטינסקי 8,6128-926-127,דירה בבית קומות,3.0,עשרים ושש,84.0,3700000,,,2020.0,,44.0,3539067925,1,6128926,False,,רמת גן,ז'בוטינסקי,,6128-926-127,6128/926,44047.619047619046,32.0826629807,34.8044700429,2021
2021-12-29,2021-12-29,,,6142-86-36,,4.0,עשרים ושתיים,90.0,3342625,1.0,,,,,11181263405,2,614286,False,,רמת גן,הטייסים,,6142-86-36,6142/86,37140.27777777778,32.0529191023,34.8131483936,2021
2021-12-29,2021-12-29,"סטופ 2, רמת גן",סטופ 2,6180-344-6,דירה בבית קומות,4.0,שביעית,90.0,2600000,,,1960.0,2019.0,6.0,3538796833,1,6180344,False,,רמת גן,סטופ,,6180-344-6,6180/344,28888.88888888889,32.058843852,34.8309575114,2021
2021-12-29,2021-12-29,"נחלה 6, רמת גן",נחלה 6,6182-118-1,דירה בבית קומות,3.0,ראשונה,58.0,1880000,,,1960.0,,3.0,3538197490,1,6182118,False,,רמת גן,נחלה,,6182-118-1,6182/118,32413.793103448275,32.063950039,34.8272666545,2021
2021-12-29,2021-12-29,"הרא""ה 93, רמת גן","הרא""ה 93",6159-725-11,דירה בבית קומות,4.0,שישית,85.0,2480000,1.0,,2014.0,,9.0,3538866955,1,6159725,False,,רמת גן,"הרא""ה",,6159-725-11,6159/725,29176.470588235294,32.0817939565,34.8258777548,2021
2021-12-29,2021-12-29,"ישורון 8, רמת גן",ישורון 8,6186-693-9,דירה בבית קומות,4.0,רביעית,90.0,2450000,,,2015.0,,3.0,3538012093,1,6186693,False,,רמת גן,ישורון,,6186-693-9,6186/693,27222.222222222223,32.0680107888,34.8298439579,2021
2021-12-29,2021-12-29,,,6142-86-35,,3.0,רביעית,77.0,2569750,1.0,,,,,11181263404,2,614286,False,,רמת גן,הטייסים,,6142-86-35,6142/86,33373.37662337662,32.0529191023,34.8131483936,2021
2021-12-28,2021-12-28,"עוזיאל 48, רמת גן",עוזיאל 48,6158-1291-14,דירה בבית קומות,2.0,שלישית,59.3,1500000,,,1960.0,,3.0,3538273122,1,61581291,False,,רמת גן,עוזיאל,,6158-1291-14,6158/1291,25295.10961214165,32.0755385587,34.8227798092,2021
2021-12-28,2021-12-28,"איינשטיין 21, רמת גן",איינשטיין 21,6182-456-18,דירה בבית קומות,3.0,ראשונה,83.0,2350000,,,1960.0,2019.0,5.0,3538919097,1,6182456,False,,רמת גן,אינשטיין,,6182-456-18,6182/456,28313.253012048197,32.0631870013,34.827036338,2021
2021-12-28,2021-12-28,"חירות 13, רמת גן",חירות 13,6205-466-10,דירה בבית קומות,4.0,שניה,77.0,300000,,,1960.0,2022.0,2.0,3539126998,1,6205466,False,,רמת גן,חרות,,6205-466-10,6205/466,3896.103896103896,32.0902299667,34.8118786859,2021
2021-12-28,2021-12-28,"נורית 4, רמת גן",נורית 4,6203-122-1,דירה בבית קומות,2.0,ראשונה,59.9,232000,,,1950.0,,2.0,3538794658,1,6203122,False,,רמת גן,נורית,,6203-122-1,6203/122,3873.121869782972,32.0949344963,34.8189169429,2021
2021-12-28,2021-12-28,"יהודה הנשיא 1, רמת גן",יהודה הנשיא 1,6158-1120-3,דירה בבית קומות,2.0,שניה,53.0,1500000,,,1960.0,,4.0,3538195605,1,61581120,False,,רמת גן,יהודה הנשיא,,6158-1120-3,6158/1120,28301.88679245283,32.0784386493,34.8256640787,2021
2021-12-28,2021-12-28,"ז'בוטינסקי 1, רמת גן",ז'בוטינסקי 1,6207-769-155,משרד,,עשרים ואחת,30.0,383000,,,1976.0,,23.0,3540094322,1,6207769,False,,רמת גן,ז'בוטינסקי,,6207-769-155,6207/769,12766.666666666666,32.0833649685,34.8003412005,2021
2021-12-28,2021-12-28,"ישורון 17, רמת גן",ישורון 17,6186-454-5,דירה בבית קומות,3.0,שניה,86.0,1800000,,,1970.0,,6.0,3539378225,1,6186454,False,50% ב 6.5 שנים,רמת גן,ישורון,7.69,6186-454-5,6186/454,20930.23255813953,32.0673213119,34.8302574685,2021
