DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2017-12-31,2017-12-31,"ויצמן 131, רעננה",ויצמן 131,7654-209-3,דירה בבית קומות,3.0,תשיעית,85.0,1900000,,,2018.0,,4.0,8733682020,1,7654209,False,,רעננה,ויצמן,,7654-209-3,7654/209,22352.941176470587,,,2017
2017-12-31,2017-12-31,"בן-גוריון 13, רעננה",בן-גוריון 13,6583-608-3,דירה בבית קומות,4.0,ראשונה,116.0,2400000,,,1980.0,,7.0,8732692936,1,6583608,False,,רעננה,בן גוריון,,6583-608-3,6583/608,20689.655172413797,32.178750132,34.8712233992,2017
2017-12-31,2017-12-31,"אלכסנדר זרחין 6, רעננה",אלכסנדר זרחין 6,7657-144-9,עסק,1.0,ראשונה,35.0,794226,1.0,בית מנצור,2020.0,,10.0,11181298765,1,7657144,False,,רעננה,זרחין אלכסנדר,,7657-144-9,7657/144,22692.17142857143,32.1940818755,34.8834591775,2017
2017-12-31,2017-12-31,"אלכסנדר זרחין 6, רעננה",אלכסנדר זרחין 6,7657-144-33,עסק,1.0,חמישית,170.0,3603588,1.0,בית מנצור,2020.0,,10.0,11181298722,1,7657144,False,,רעננה,זרחין אלכסנדר,,7657-144-33,7657/144,21197.57647058824,32.1940818755,34.8834591775,2017
2017-12-31,2017-12-31,"אלכסנדר זרחין 6, רעננה",אלכסנדר זרחין 6,7657-144-17,עסק,1.0,שלישית,67.0,1464642,1.0,בית מנצור,2020.0,,10.0,11181298686,1,7657144,False,,רעננה,זרחין אלכסנדר,,7657-144-17,7657/144,21860.328358208957,32.1940818755,34.8834591775,2017
2017-12-31,2017-12-31,"אלכסנדר זרחין 6, רעננה",אלכסנדר זרחין 6,7657-144-11,עסק,1.0,ראשונה,48.0,1021644,1.0,בית מנצור,2020.0,,10.0,11181298664,1,7657144,False,,רעננה,זרחין אלכסנדר,,7657-144-11,7657/144,21284.25,32.1940818755,34.8834591775,2017
2017-12-31,2017-12-31,"אלכסנדר זרחין 6, רעננה",אלכסנדר זרחין 6,7657-144-18,עסק,1.0,שלישית,71.0,1506637,1.0,בית מנצור,2020.0,,10.0,11181298695,1,7657144,False,,רעננה,זרחין אלכסנדר,,7657-144-18,7657/144,21220.23943661972,32.1940818755,34.8834591775,2017
2017-12-31,2017-12-31,"אלכסנדר זרחין 6, רעננה",אלכסנדר זרחין 6,7657-144-19,עסק,1.0,שלישית,70.0,1520991,1.0,בית מנצור,2020.0,,10.0,11181298704,1,7657144,False,,רעננה,זרחין אלכסנדר,,7657-144-19,7657/144,21728.442857142854,32.1940818755,34.8834591775,2017
2017-12-31,2017-12-31,"אלכסנדר זרחין 6, רעננה",אלכסנדר זרחין 6,7657-144-20,עסק,1.0,שלישית,63.0,1657045,1.0,בית מנצור,2020.0,,10.0,11181298709,1,7657144,False,,רעננה,זרחין אלכסנדר,,7657-144-20,7657/144,26302.301587301587,32.1940818755,34.8834591775,2017
2017-12-31,2017-12-31,"אלכסנדר זרחין 6, רעננה",אלכסנדר זרחין 6,7657-144-21,עסק,1.0,ראשונה,79.0,1683206,1.0,בית מנצור,2020.0,,10.0,11181298710,1,7657144,False,,רעננה,זרחין אלכסנדר,,7657-144-21,7657/144,21306.40506329114,32.1940818755,34.8834591775,2017
