DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT,city_name,street,presentage per year,GUSH - Copy,Gush_Helka,Price per sqm,lat,lon,Year
2006-12-31,2006-12-31,"ישעיהו ברלין 1, תל אביב -יפו",ישעיהו ברלין 1,6970-103-106,דירה בבית קומות,4.0,שישית,,820000,,,2022.0,,10.0,5350947350,1,6970103,False,,תל אביב -יפו,ברלין ישעיהו,,6970-103-106,6970/103,,32.046303635,34.776796282,2006
2006-12-31,2006-12-31,"קריית ספר 5, תל אביב -יפו",קריית ספר 5,7103-56-2,דירה בבית קומות,2.0,קרקע,55.5,845000,,,1950.0,,3.0,5351123850,1,710356,False,,תל אביב -יפו,קרית ספר,,7103-56-2,7103/56,15225.225225225226,32.0692316111,34.7814418143,2006
2006-12-31,2006-12-31,"הונא 1, תל אביב -יפו",הונא 1,6135-46-7,חנות,,,124.0,580290,,,1950.0,,2.0,5350279850,1,613546,False,,תל אביב -יפו,הונא,,6135-46-7,6135/46,4679.758064516129,32.049419005,34.791850268,2006
2006-12-31,2006-12-31,"סהרון 28, תל אביב -יפו",סהרון 28,7075-54-6,דירה בבית קומות,3.0,שלישית,63.6,326000,,,1970.0,,4.0,5351227450,1,707554,False,,תל אביב -יפו,סהרון,,7075-54-6,7075/54,5125.786163522012,32.034804763,34.7489103556,2006
2006-12-31,2006-12-31,"אליהו ברלין 1, תל אביב -יפו",אליהו ברלין 1,6632-485-43,דירה בבית קומות,5.0,חמישית,120.0,2080000,,,2006.0,,6.0,5351266100,1,6632485,False,,תל אביב -יפו,ברלין אליהו,,6632-485-43,6632/485,17333.333333333332,32.1233492491,34.7935989024,2006
2006-12-31,2006-12-31,"טורטשינר 4, תל אביב -יפו",טורטשינר 4,6769-80-12,דירה בבית קומות,3.0,שניה,51.6,1286000,,,1950.0,,3.0,5350596700,1,676980,False,44% ב 2.5 שנים,תל אביב -יפו,טורטשינר,17.6,6769-80-12,6769/80,24922.48062015504,32.1080213829,34.8007742029,2006
2006-12-31,2006-12-31,"מארק שאגאל 6, תל אביב -יפו",מארק שאגאל 6,6883-16-27,דירה בבית קומות,5.0,ראשונה,110.7,2133000,,,2005.0,,7.0,5351731050,1,688316,False,,תל אביב -יפו,שגאל מרק,,6883-16-27,6883/16,19268.29268292683,32.1178034376,34.7883421671,2006
2006-12-31,2006-12-31,"ח""ן 50, תל אביב -יפו","ח""ן 50",6952-74-6,דירה בבית קומות,2.0,שניה,46.6,989000,,,1950.0,,9.0,5351009500,1,695274,False,,תל אביב -יפו,"ח""ן",,6952-74-6,6952/74,21223.17596566524,32.0790038828,34.7803489088,2006
2006-12-31,2006-12-31,"אמיר גלבוע 18, תל אביב -יפו",אמיר גלבוע 18,6884-31-70,דירה בבית קומות,4.0,שלישית,91.5,1774000,,,2003.0,,8.0,5350030700,1,688431,False,,תל אביב -יפו,גלבוע אמיר,,6884-31-70,6884/31,19387.978142076503,32.1150525543,34.7883635913,2006
2006-12-31,2006-12-31,"אורי צבי גרינברג 8, תל אביב -יפו",אורי צבי גרינברג 8,6632-470-80,מחסנים,,קרקע,26.0,181000,,,2001.0,,13.0,5351557400,1,6632470,False,,תל אביב -יפו,אורי צבי גרינברג,,6632-470-80,6632/470,6961.538461538462,32.1283020245,34.7947692926,2006
2006-12-31,2006-12-31,"ויצמן 14, תל אביב -יפו",ויצמן 14,6111-860-7,חנות,,,11111.0,68000000,,,2007.0,,8.0,5351767700,1,6111860,False,,תל אביב -יפו,ויצמן,,6111-860-7,6111/860,6120.061200612006,32.0815970253,34.789751068,2006
2006-12-31,2006-12-31,"משגב עם 14, תל אביב -יפו",משגב עם 14,7065-196-4,דירה בבית קומות,2.0,ראשונה,41.85,253000,,,1960.0,,4.0,5350150300,1,7065196,False,,תל אביב -יפו,משגב עם,,7065-196-4,7065/196,6045.400238948626,32.0413945286,34.7744579821,2006
2006-12-31,2006-12-31,"נטעים 21, תל אביב -יפו",נטעים 21,6135-342-11,דירה בבית קומות,4.0,שניה וגג,109.3,718000,,,2005.0,,2.0,5350514500,1,6135342,False,,תל אביב -יפו,נטעים,,6135-342-11,6135/342,6569.07593778591,32.0479074397,34.7966634721,2006
2006-12-31,2006-12-31,"יפת 65, תל אביב -יפו",יפת 65,7023-59-1,משרד,,קרקע,156.0,676000,,,1950.0,,1.0,5350879600,1,702359,False,,תל אביב -יפו,יפת,,7023-59-1,7023/59,4333.333333333333,32.0480090002,34.7526020294,2006
2006-12-31,2006-12-31,"מח""ל 70, תל אביב -יפו","מח""ל 70",6146-396-13,דירה בבית קומות,3.0,שלישית,82.05,726000,,,2006.0,,,5350672150,1,6146396,False,,תל אביב -יפו,"מח""ל",,6146-396-13,6146/396,8848.263254113346,32.0489484841,34.8106264452,2006
